{1.213071,	0.752517},
{1.197356,	0.763546},
{1.182093,	0.773983},
{1.167247,	0.783860},
{1.152792,	0.793204},
{1.138701,	0.802038},
{1.124953,	0.810385},
{1.111527,	0.818263},
{1.098406,	0.825690},
{1.085575,	0.832681},
{1.073017,	0.839249},
{1.060722,	0.845409},
{1.048676,	0.851171},
{1.036869,	0.856546},
{1.025293,	0.861543},
{1.013938,	0.866173},
{1.002796,	0.870442},
{0.991861,	0.874360},
{0.981126,	0.877933},
{0.970586,	0.881169},
{0.960235,	0.884073},
{0.950070,	0.886651},
{0.940085,	0.888911},
{0.930279,	0.890856},
{0.920647,	0.892493},
{0.911188,	0.893826},
{0.901898,	0.894860},
{0.892777,	0.895601},
{0.883823,	0.896052},
{0.875034,	0.896218},
{0.866411,	0.896104},
{0.857952,	0.895713},
{0.849657,	0.895051},
{0.841527,	0.894120},
{0.833562,	0.892925},
{0.825762,	0.891471},
{0.818130,	0.889760},
{0.810664,	0.887798},
{0.803368,	0.885587},
{0.796242,	0.883132},
{0.789289,	0.880437},
{0.782509,	0.877505},
{0.775906,	0.874340},
{0.769482,	0.870945},
{0.763238,	0.867325},
{0.757178,	0.863483},
{0.751304,	0.859423},
{0.745619,	0.855148},
{0.740126,	0.850662},
{0.734828,	0.845968},
{0.729728,	0.841069},
{0.724829,	0.835969},
{0.720135,	0.830670},
{0.715648,	0.825177},
{0.711373,	0.819492},
{0.707313,	0.813619},
{0.703471,	0.807558},
{0.699851,	0.801315},
{0.696457,	0.794890},
{0.693292,	0.788287},
{0.690359,	0.781508},
{0.687664,	0.774554},
{0.685209,	0.767428},
{0.682998,	0.760132},
{0.681036,	0.752667},
{0.679325,	0.745034},
{0.677871,	0.737234},
{0.676676,	0.729269},
{0.675746,	0.721139},
{0.675083,	0.712845},
{0.674692,	0.704386},
{0.674578,	0.695762},
{0.674744,	0.686973},
{0.675195,	0.678019},
{0.675936,	0.668898},
{0.676970,	0.659608},
{0.678304,	0.650149},
{0.679940,	0.640517},
{0.681886,	0.630711},
{0.684145,	0.620727},
{0.686724,	0.610561},
{0.689628,	0.600211},
{0.692863,	0.589670},
{0.696436,	0.578936},
{0.700354,	0.568000},
{0.704624,	0.556859},
{0.709253,	0.545503},
{0.714251,	0.533927},
{0.719626,	0.522121},
{0.725387,	0.510075},
{0.731547,	0.497779},
{0.738116,	0.485222},
{0.745106,	0.472390},
{0.752533,	0.459269},
{0.760411,	0.445844},
{0.768758,	0.432096},
{0.777593,	0.418005},
{0.786936,	0.403549},
{0.796813,	0.388704},
{0.807251,	0.373440},
{0.818280,	0.357726},
