.166 0.040 -4.725	2 0.738 0.683 0.017 10.431	3 0.190 0.160 -0.017 5.771	4 -0.738 -0.693 -0.006 -8.699
89 0 1 -0.190 -0.165 -0.017 -4.734	2 0.738 0.683 -0.006 10.519	3 0.190 0.159 -0.028 5.824	4 -0.739 -0.693 -0.017 -8.690
90 0 1 -0.190 -0.165 0.017 -4.690	2 0.739 0.683 -0.017 10.607	3 0.190 0.159 -0.006 5.736	4 -0.739 -0.693 -0.006 -8.796
90 0 1 -0.190 -0.165 -0.006 -4.690	2 0.740 0.683 -0.017 10.659	3 0.189 0.159 0.006 5.666	4 -0.740 -0.693 0.006 -8.892
91 0 1 -0.189 -0.165 0.006 -4.611	2 0.740 0.683 0.006 10.747	3 0.189 0.159 0.028 5.622	4 -0.740 -0.693 -0.006 -8.901
92 0 1 -0.189 -0.165 0.006 -4.532	2 0.740 0.683 0.028 10.782	3 0.189 0.159 0.028 5.560	4 -0.741 -0.694 -0.040 -8.813
93 0 1 -0.188 -0.165 -0.006 -4.444	2 0.741 0.684 -0.017 10.800	3 0.188 0.160 0.017 5.402	4 -0.741 -0.694 -0.006 -8.822
93 0 1 -0.188 -0.165 0.006 -4.426	2 0.741 0.684 -0.006 10.774	3 0.188 0.160 -0.028 5.411	4 -0.741 -0.694 0.006 -8.866
94 0 1 -0.188 -0.165 0.006 -4.400	2 0.741 0.684 0.017 10.782	3 0.188 0.160 0.006 5.393	4 -0.741 -0.694 -0.040 -8.936
95 0 1 -0.188 -0.165 -0.028 -4.303	2 0.741 0.684 -0.006 10.853	3 0.188 0.160 -0.028 5.349	4 -0.741 -0.694 -0.006 -8.936
96 0 1 -0.188 -0.165 -0.006 -4.338	2 0.741 0.684 -0.017 10.879	3 0.188 0.160 -0.006 5.358	4 -0.741 -0.694 0.006 -8.954
96 0 1 -0.188 -0.165 0.017 -4.356	2 0.742 0.684 -0.028 10.897	3 0.188 0.160 -0.017 5.349	4 -0.742 -0.694 -0.006 -9.024
