1 -0.253 -0.187 1.411	2 0.139 -0.028 -0.277
1 -0.257 -0.096 1.569	2 0.139 -0.028 -0.277
1 -0.260 -0.119 1.244	2 0.139 -0.006 -0.277
1 -0.262 -0.051 0.998	2 0.139 -0.051 -0.277
1 -0.264 -0.062 0.453	2 0.139 -0.017 -0.277
1 -0.266 -0.096 0.259	2 0.139 0.006 -0.277
1 -0.269 -0.142 -0.004	2 0.139 -0.017 -0.277
1 -0.273 -0.199 0.233	2 0.139 -0.017 -0.277
1 -0.279 -0.187 0.295	2 0.139 -0.017 -0.277
1 -0.285 -0.176 0.804	2 0.139 -0.006 -0.277
1 -0.290 -0.119 0.875	2 0.139 0.006 -0.277
1 -0.295 -0.187 1.244	2 0.139 -0.006 -0.277
1 -0.297 -0.119 0.866	2 0.139 0.040 -0.277
1 -0.300 -0.096 0.804	2 0.139 -0.006 -0.277
1 -0.303 -0.074 0.391	2 0.139 -0.017 -0.277
1 -0.307 -0.119 0.418	2 0.139 0.006 -0.277
1 -0.311 -0.119 0.514	2 0.139 -0.017 -0.277
1 -0.315 -0.085 1.895	2 0.139 -0.028 -0.277
1 -0.316 0.006 3.108	2 0.138 0.006 -0.277
1 -0.313 0.153 3.178	2 0.139 0.006 -0.277
1 -0.308 0.233 2.976	2 0.139 -0.017 -0.277
1 -0.300 0.289 2.141	2 0.139 -0.006 -0.277
1 -0.291 0.312 1.323	2 0.139 -0.028 -0.277
1 -0.282 0.278 0.338	2 0.139 0.006 -0.277
1 -0.276 0.142 0.171	2 0.139 0.017 -0.277
1 -0.272 0.131 -0.048	2 0.140 0.040 -0.277
1 -0.271 0.017 0.620	2 0.142 0.085 -0.277
1 -0.271 -0.074 1.165	2 0.145 0.062 -0.277
1 -0.270 0.040 1.956	2 0.144 -0.028 -0.277
1 -0.268 0.062 2.149	2 0.144 0.006 -0.277
1 -0.265 0.119 2.404	2 0.144 0.006 -0.277
1 -0.260 0.199 1.947	2 0.144 -0.006 -0.277
1 -0.254 0.165 1.833	2 0.144 0.017 -0.277
1 -0.248 0.165 1.244	2 0.144 -0.017 -0.277
1 -0.242 0.131 1.103	2 0.144 -0.028 -0.277
1 -0.238 0.142 0.927	2 0.144 -0.017 -0.277
1 -0.236 0.062 1.420	2 0.144 -0.028 -0.277
1 -0.235 0.006 1.807	2 0.144 -0.040 -0.277
1 -0.234 0.074 2.413	2 0.144 -0.028 -0.277
1 -0.231 0.108 2.378	2 0.144 0.006 -0.277
1 -0.227 0.176 2.431	2 0.144 -0.006 -0.277
1 -0.220 0.187 1.833	2 0.144 -0.006 -0.277
1 -0.213 0.233 1.332	2 0.144 -0.017 -0.277
1 -0.207 0.221 0.673	2 0.145 -0.006 -0.277
1 -0.202 0.153 0.690	2 0.145 0.006 -0.277
1 -0.199 0.051 0.760	2 0.144 -0.017 -0.277
1 -0.198 0.028 1.437	2 0.144 -0.028 -0.277
1 -0.198 0.017 1.859	2 0.144 0.017 -0.277
1 -0.197 0.040 2.580	2 0.144 -0.006 -0.277
1 -0.195 0.119 2.695	2 0.144 -0.006 -0.277
1 -0.191 0.176 2.712	2 0.144 -0.006 -0.277
1 -0.185 0.221 2.158	2 0.144 0.006 -0.277
1 -0.178 0.233 1.859	2 0.144 -0.017 -0.277
1 -0.171 0.267 1.077	2 0.144 -0.028 -0.277
1 -0.166 0.210 0.840	2 0.144 -0.040 -0.277
1 -0.162 0.096 0.708	2 0.145 -0.028 -0.277
1 -0.160 0.040 1.121	2 0.145 0.017 -0.277
1 -0.159 -0.040 1.508	2 0.144 -0.006 -0.277
1 -0.158 0.040 2.185	2 0.144 0.006 -0.277
1 -0.157 0.085 2.484	2 0.144 -0.006 -0.277
1 -0.155 0.119 2.853	2 0.144 -0.006 -0.277
1 -0.150 0.176 2.457	2 0.144 0.006 -0.277
1 -0.144 0.187 2.255	2 0.144 0.017 -0.277
1 -0.138 0.199 1.596	2 0.144 -0.040 -0.277
1 -0.133 0.176 1.446	2 0.144 0.006 -0.277
1 -0.129 0.142 1.174	2 0.144 -0.006 -0.277
1 -0.126 0.074 1.446	2 0.144 -0.017 -0.277
1 -0.124 0.040 1.569	2 0.144 -0.028 -0.277
1 -0.122 0.040 2.167	2 0.144 0.006 -0.277
1 -0.120 0.096 2.097	2 0.144 -0.017 -0.277
1 -0.117 0.165 2.404	2 0.144 -0.040 -0.277
1 -0.113 0.131 2.176	2 0.144 -0.017 -0.277
1 -0.109 0.187 2.062	2 0.144 -0.006 -0.277
1 -0.104 0.142 1.754	2 0.144 0.017 -0.277
1 -0.099 0.131 1.727	2 0.144 0.006 -0.277
1 -0.096 0.062 1.604	2 0.144 -0.028 -0.277
