1 -0.197 0.006 1.789	2 0.067 0.131 0.462
1 -0.197 -0.006 2.220	2 0.072 0.165 0.312
1 -0.196 0.051 2.879	2 0.076 0.131 0.004
1 -0.193 0.131 2.677	2 0.078 0.028 0.233
1 -0.187 0.233 2.387	2 0.078 0.017 0.558
1 -0.179 0.233 1.692	2 0.081 0.142 0.637
1 -0.173 0.221 1.262	2 0.088 0.267 -0.136
1 -0.168 0.176 0.831	2 0.096 0.187 -0.796
1 -0.163 0.131 0.822	2 0.096 -0.028 -0.593
1 -0.159 0.051 0.708	2 0.097 0.051 -0.004
1 -0.158 0.028 1.297	2 0.098 0.017 0.268
1 -0.158 -0.017 1.754	2 0.099 0.074 0.752
1 -0.158 0.028 2.624	2 0.101 0.119 0.708
1 -0.157 0.028 2.976	2 0.106 0.153 0.400
1 -0.154 0.119 3.248	2 0.111 0.176 0.084
1 -0.149 0.233 2.721	2 0.113 0.108 0.215
1 -0.141 0.255 2.000	2 0.117 0.131 0.136
1 -0.134 0.199 1.297	2 0.121 0.165 0.013
1 -0.128 0.176 1.042	2 0.126 0.108 -0.365
1 -0.124 0.119 0.769	2 0.128 0.051 -0.207
1 -0.121 0.040 1.077	2 0.130 0.051 -0.013
1 -0.120 -0.017 1.341	2 0.131 0.062 0.400
1 -0.119 0.006 2.000	2 0.133 0.085 0.532
1 -0.118 0.017 2.404	2 0.136 0.142 0.558
1 -0.117 0.096 2.888	2 0.140 0.096 0.400
1 -0.113 0.142 2.633	2 0.144 0.131 0.330
1 -0.108 0.210 2.387	2 0.148 0.176 0.092
1 -0.102 0.176 1.807	2 0.153 0.153 -0.040
1 -0.097 0.176 1.640	2 0.157 0.062 -0.277
1 -0.093 0.096 1.297	2 0.158 -0.017 0.163
1 -0.088 0.096 1.411	2 0.159 0.040 0.585
1 -0.086 0.074 1.402	2 0.162 0.176 0.664
1 -0.085 0.040 2.070	2 0.168 0.176 0.163
1 -0.084 0.051 2.343	2 0.172 0.131 0.048
1 -0.081 0.165 2.615	2 0.173 -0.017 0.488
1 -0.078 0.165 2.273	2 0.174 0.119 0.848
1 -0.073 0.165 2.273	2 0.179 0.187 0.426
1 -0.068 0.108 1.912	2 0.186 0.210 -0.022
1 -0.065 0.153 1.842	2 0.191 0.085 -0.356
1 -0.060 0.131 1.604	2 0.193 0.017 -0.084
1 -0.056 0.119 1.631	2 0.194 0.006 0.215
1 -0.054 0.108 1.473	2 0.195 0.006 0.787
1 -0.052 0.051 1.991	2 0.197 0.142 0.787
1 -0.050 0.051 2.132	2 0.203 0.221 0.514
1 -0.047 0.085 2.457	2 0.208 0.153 0.066
1 -0.046 0.096 2.404	2 0.210 0.006 0.602
