194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 49 0 1 -0.025 -0.018 -0.221 -2.580	2 0.182 0.192 -0.040 -3.600	R 59 1 3 0.305 0.319 -0.006 -4.330	4 -0.671 -0.593 0.017 8.725
L 50 0 1 -0.035 -0.024 -0.199 -3.811	2 0.180 0.189 -0.051 -3.222	R 59 1 3 0.305 0.318 0.028 -4.927	4 -0.671 -0.593 -0.017 8.523
L 51 0 1 -0.046 -0.030 -0.278 -4.365	2 0.179 0.188 -0.028 -3.204	R 60 1 3 0.302 0.318 0.017 -5.921	4 -0.671 -0.592 0.176 8.154
L 51 0 1 -0.046 -0.038 -0.255 -2.712	2 0.178 0.187 -0.051 -3.125	R 61 1 3 0.299 0.318 -0.040 -6.598	4 -0.672 -0.591 0.017 7.811
L 52 0 1 -0.057 -0.046 -0.278 -3.749	2 0.178 0.186 -0.006 -3.046	R 62 1 3 0.296 0.318 -0.006 -7.134	4 -0.672 -0.591 0.017 7.433
L 53 0 1 -0.068 -0.056 -0.369 -4.189	2 0.177 0.186 -0.028 -3.152	R 62 1 3 0.296 0.318 0.006 -7.723	4 -0.673 -0.590 0.017 7.231
L 54 0 1 -0.079 -0.065 -0.369 -3.758	2 0.177 0.185 -0.017 -2.976	R 63 1 3 0.293 0.316 -0.006 -8.365	4 -0.673 -0.590 -0.017 6.756
L 54 0 1 -0.079 -0.074 -0.312 -1.692	2 0.178 0.185 -0.028 -2.721	R 64 1 3 0.290 0.316 -0.085 -8.796	4 -0.673 -0.589 0.006 6.396
L 55 0 1 -0.090 -0.083 -0.278 -2.536	2 0.178 0.186 0.006 -2.659	R 65 1 3 0.288 0.316 0.017 -9.323	4 -0.674 -0.589 -0.028 6.009
L 56 0 1 -0.102 -0.093 -0.346 -3.187	2 0.179 0.186 0.051 -2.527	R 65 1 3 0.288 0.315 -0.006 -9.798	4 -0.674 -0.588 0.176 5.763
L 57 0 1 -0.114 -0.101 -0.289 -3.512	2 0.182 0.187 0.006 -1.903	R 66 1 3 0.285 0.314 -0.017 -10.299	4 -0.674 -0.587 0.017 5.253
L 57 0 1 -0.114 -0.110 -0.323 -1.314	2 0.185 0.187 -0.006 -1.604	R 67 1 3 0.282 0.313 -0.074 -10.695	4 -0.675 -0.587 0.017 4.804
L 58 0 1 -0.127 -0.119 -0.289 -2.598	2 0.185 0.191 0.131 -2.114	R 68 1 3 0.279 0.313 -0.017 -10.976	4 -0.676 -0.586 0.176 4.312
L 59 0 1 -0.140 -0.129 -0.346 -3.723	2 0.190 0.196 0.221 -2.686	R 68 1 3 0.279 0.311 -0.040 -11.090	4 -0.677 -0.585 0.017 3.934
L 60 0 1 -0.153 -0.138 -0.335 -3.793	2 0.195 0.203 0.244 -2.923	R 69 1 3 0.277 0.309 -0.040 -11.415	4 -0.677 -0.584 0.176 3.407
L 60 0 1 -0.153 -0.148 -0.346 -1.648	2 0.202 0.207 0.051 -3.204	R 70 1 3 0.274 0.307 -0.131 -11.477	4 -0.677 -0.583 0.028 2.651
L 61 0 1 -0.166 -0.157 -0.301 -3.275	2 0.202 0.211 0.165 -3.275	R 71 1 3 0.271 0.306 -0.062 -11.477	4 -0.678 -0.582 0.028 2.088
