I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.32,0.04,1.84,2,0.64,0.01,12.21,3,0.41,-0.35,1.07,4,0.53,0.63,0.2,1,0.35,0,-1.43,2,0.6,0,0,3,0.45,0,5.97,4,0.67,0,13.3,72.980003,-525.119995,76.220001,-531.380005,0,-540,58.130001,-517.97998
1,0.33,0.22,0.82,2,0.63,-0.21,4.09,3,0.41,-0.45,9.67,4,0.62,2.57,4.95,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.78,4,0.67,0,15.38,72.980003,-525.119995,75.510002,-529.97998,0,-540,38.290001,-531.599976
1,0.33,0.23,-1.48,2,0.62,-0.22,0.05,3,0.38,-0.53,4.88,4,0.66,0.61,10.77,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.81,4,0.67,0,14.99,72.980003,-525.119995,77.809998,-528.119995,0,-540,38.41,-537.630005
1,0.33,0.16,-0.08,2,0.62,-0.1,-0.34,3,0.38,-0.09,3.34,4,0.67,0.15,14.58,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.51,4,0.67,0,13.77,72.980003,-525.119995,75.690002,-527.690002,0,-540,38.130001,-539.450012
1,0.34,0.04,0.25,2,0.62,-0.02,-0.58,3,0.37,-0.06,3.36,4,0.68,0.05,14.61,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.5,4,0.67,0,13.2,72.980003,-525.119995,74.559998,-527.690002,0,-540,38.900002,-540.039978
1,0.34,-0.01,0.37,2,0.62,-0.03,-0.54,3,0.37,0.05,2.68,4,0.68,-0.04,13.69,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.48,4,0.67,0,12.93,72.980003,-525.119995,74.769997,-527.659973,0,-540,39.389999,-539.76001
1,0.34,-0.01,0.41,2,0.62,-0.02,-0.47,3,0.37,-0.01,2.85,4,0.68,-0.02,13.17,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.51,4,0.67,0,12.93,72.980003,-525.119995,74.949997,-527.530029,0,-540,39.470001,-539.400024
1,0.34,-0.03,0.37,2,0.61,-0.01,-0.55,3,0.37,0.01,2.69,4,0.67,0.03,12.69,1,0.35,0,0,2,0.6,0,0,3,0.45,0,0.51,4,0.67,0,12.96,72.980003,-525.119995,75.25,-527.429993,0,-540,39.779999,-539.330017
1,0.34,0.02,0.4,2,0.61,0.01,-0.53,3,0.37,-0.05,2.98,4,0.68,-0.01,12.69,1,0.35,0,0,2,0.67,-0.1,-1.64,3,0.45,0,0.51,4,0.67,0,13,54.98,-537.159973,75.25,-527.429993,0,-540,40.200001,-539.400024
1,0.34,-0.01,0.39,2,0.61,-0.02,-0.54,3,0.37,0.03,2.84,4,0.68,0.02,12.74,1,0.45,0.23,-3.25,2,0.67,-0.1,-1.64,3,0.45,0,0.52,4,0.67,0,13.01,0.83,-538.880005,75.25,-527.429993,0,-540,40.099998,-539.460022
1,0.34,-0.01,0.38,2,0.61,-0.01,-0.04,3,0.37,0.02,2.85,4,0.68,0.02,12.8,1,0.45,0.23,-3.25,2,0.66,-0.56,-1.63,3,0.45,0,0.52,4,0.67,0,13,-4.08,-538.859985,75.25,-527.429993,0,-540,39.990002,-539.409973
1,0.34,-0.01,0.26,2,0.62,-0.02,-0.27,3,0.37,0.01,2.83,4,0.68,0.01,12.75,1,0.46,0.46,-3.23,2,0.64,-0.99,-1.59,3,0.45,0,0.52,4,0.67,0,12.99,1.28,-536.219971,75.150002,-527.5,0,-540,39.990002,-539.409973
1,0.34,-0.01,0.58,2,0.61,-0.02,-0.8,3,0.37,0.01,2.81,4,0.68,-0.01,12.82,1,0.48,0.63,-3.21,2,0.62,-1.3,-1.55,3,0.45,0,0.52,4,0.67,0,13,0.73,-532.880005,75.25,-527.429993,0,-540,40.200001,-539.400024
1,0.34,0.02,0.95,2,0.61,0.01,-0.84,3,0.37,-0.01,2.84,4,0.68,0.01,12.79,1,0.49,0.79,-3.17,2,0.57,-1.63,-1.46,3,0.45,0,0.52,4,0.67,0,13,2.67,-526.619995,75.25,-527.429993,0,-540,40.200001,-539.400024
1,0.34,0.01,0.99,2,0.61,-0.01,-1.45,3,0.37,-0.01,2.83,4,0.68,-0.01,12.76,1,0.52,0.89,-3.14,2,0.53,-1.81,-1.37,3,0.45,0,0.52,4,0.67,0,13,2.07,-520.26001,75.230003,-527.330017,0,-540,40.200001,-539.400024
1,0.34,0.1,1.08,2,0.61,-0.2,-1.89,3,0.37,0.01,2.84,4,0.68,-0.01,12.84,1,0.54,0.95,-3.1,2,0.48,-1.91,-1.27,3,0.45,0,0.52,4,0.67,0,13,2.04,-513.22998,74.830002,-526.690002,0,-540,39.990002,-539.409973
1,0.35,0.18,1.23,2,0.6,-0.3,-2.3,3,0.37,0.02,2.8,4,0.67,0.01,12.91,1,0.56,0.96,-3.05,2,0.48,-1.91,-1.27,3,0.45,0,0.52,4,0.67,0,13,3,-505.25,74.190002,-525.059998,0,-540,40.080002,-539.26001
1,0.36,0.39,0.87,2,0.58,-0.43,-2.58,3,0.38,0.02,2.76,4,0.67,-0.04,12.88,1,0.56,0.96,-3.05,2,0.43,-1.92,-1.13,3,0.45,0,0.52,4,0.67,0,13,-9.02,-505.179993,71.160004,-523.030029,0,-540,39.66,-539.190002
1,0.38,0.49,0.67,2,0.56,-0.61,-2.55,3,0.38,-0.01,2.83,4,0.67,-0.01,12.83,1,0.59,0.94,-3.11,2,0.38,-1.87,-1.05,3,0.45,0,0.52,4,0.67,0,13.01,-8.4,-497.420013,67.010002,-519.969971,0,-540,39.759998,-539.130005
