I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
0,1.2,3.4,0,1,0.32,-0.02,5.07,2,0.65,0.01,14,3,0.33,-0.02,0,4,0.66,-0.05,-0.76,1,0.45,0,3.25,2,0.67,0,9.43,3,0.45,0,-2.66,4,0.67,0,7.75,0,-540,67.800003,-534.969971
0,1.2,3.4,0,1,0.32,0.01,5.63,2,0.65,-0.07,10.25,3,0.33,-0.07,-0.75,4,0.66,0.15,0.15,1,0.45,0,3.25,2,0.67,0,0,3,0.45,0,0.89,4,0.67,0,13.35,0,-540,67.839996,-534.409973
0,1.2,3.4,0,1,0.33,0.35,5.52,2,0.63,-0.6,3.4,3,0.33,0.05,-1.14,4,0.67,-0.38,-6.16,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.89,4,0.67,0,13.41,0,-540,63.080002,-537.049988
0,1.2,3.4,0,1,0.34,0.18,2.81,2,0.62,0.06,1.18,3,0.34,0.05,-4.73,4,0.69,-0.02,-12.99,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.82,4,0.67,0,13.17,0,-540,56.450001,-540.109985
0,1.2,3.4,0,1,0.34,0.06,3.05,2,0.62,-0.04,1.62,3,0.33,0.01,-4.43,4,0.7,-0.05,-12.53,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.73,4,0.67,0,12.88,0,-540,56.900002,-540.460022
0,1.2,3.4,0,1,0.34,0.01,3.27,2,0.62,-0.04,1.6,3,0.33,-0.04,-4.21,4,0.69,0.07,-12.64,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.73,4,0.67,0,12.88,0,-540,56.68,-540.280029
0,1.2,3.4,0,1,0.34,-0.01,3.27,2,0.62,0.05,1.44,3,0.33,0.02,-4.32,4,0.69,-0.04,-12.08,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.73,4,0.67,0,12.84,0,-540,56.98,-540.200012
0,1.2,3.4,0,1,0.34,0.03,3.26,2,0.62,-0.01,1.53,3,0.33,-0.01,-4.22,4,0.69,-0.03,-12.09,1,0.45,0,0,2,0.67,0,0,3,0.45,0,0.73,4,0.67,0,12.86,0,-540,57.09,-540.23999
0,1.2,3.4,0,1,0.34,-0.01,3.3,2,0.62,0.01,1.54,3,0.33,-0.02,-4.23,4,0.69,-0.03,-12.1,1,0.45,0.04,-3.09,2,0.67,0,0,3,0.45,0,0.74,4,0.67,0,12.87,0,-540,57.09,-540.23999
0,1.2,3.4,0,1,0.34,0.01,3.27,2,0.62,0.01,1.51,3,0.33,-0.02,-4.21,4,0.69,-0.01,-12.15,1,0.45,0.04,-3.09,2,0.67,-0.19,-1.56,3,0.45,0,0.74,4,0.67,0,12.86,0,-540,56.880001,-540.26001
0,1.2,3.4,0,1,0.34,0.02,0.29,2,0.62,0.01,-0.76,3,0.33,-0.03,-4.22,4,0.69,-0.01,-12.15,1,0.45,0.27,-3.09,2,0.66,-0.64,-1.55,3,0.45,0,0.73,4,0.67,0,12.86,0,-540,56.880001,-540.26001
0,1.2,3.4,0,1,0.34,0.1,1.01,2,0.61,-0.21,-1.97,3,0.33,-0.01,-4.21,4,0.69,-0.01,-12.14,1,0.46,0.48,-3.06,2,0.64,-1.05,-1.5,3,0.45,0,0.73,4,0.67,0,12.86,0,-540,56.77,-540.22998
