I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.32,-0.04,1.75,2,0.65,-0.01,12.24,3,0.33,-0.01,0.44,4,0.66,0.02,0.98,1,0.34,0,1.18,2,0.61,0,11.93,3,0.45,0,-1.67,4,0.67,0,4.85,72.75,-527.140015,74.739998,-532.619995,0,-540,67.800003,-534.109985
1,0.32,-0.02,1.86,2,0.65,-0.03,10.77,3,0.34,0.22,1,4,0.65,-0.11,0.08,1,0.34,0,3.96,2,0.61,0,5.02,3,0.45,0,-3.29,4,0.67,0,11.79,72.75,-527.140015,74.629997,-532.580017,0,-540,66.209999,-533.849976
1,0.33,0.11,4.13,2,0.64,-0.26,5.07,3,0.34,-0.01,1.67,4,0.66,0.1,4.86,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.9,4,0.67,0,13.49,72.75,-527.140015,73.410004,-531.210022,0,-540,61.700001,-535.049988
1,0.33,0.1,0.07,2,0.63,-0.22,0.22,3,0.33,-0.18,1.02,4,0.68,0.27,10.65,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.85,4,0.67,0,13.4,72.75,-527.140015,75.019997,-529.419983,0,-540,61.169998,-537.619995
1,0.34,0.1,-0.09,2,0.62,-0.03,-0.31,3,0.34,-0.07,4.81,4,0.68,0.14,12.75,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.8,4,0.67,0,13.12,72.75,-527.140015,73.110001,-529.049988,0,-540,56.23,-539.01001
1,0.34,-0.02,0.23,2,0.62,-0.03,-0.32,3,0.34,0.04,4.08,4,0.68,-0.01,13.02,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.73,4,0.67,0,13.12,72.75,-527.140015,73.309998,-529.030029,0,-540,56.650002,-539.059998
1,0.34,0.01,0.25,2,0.62,0.02,-0.41,3,0.34,-0.02,4.15,4,0.68,-0.02,12.71,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.73,4,0.67,0,13,72.75,-527.140015,73.410004,-528.960022,0,-540,56.84,-538.840027
1,0.34,-0.03,0.28,2,0.62,-0.01,-0.41,3,0.34,-0.04,4.15,4,0.68,0.02,12.49,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.73,4,0.67,0,12.99,72.75,-527.140015,73.309998,-529.030029,0,-540,56.849998,-538.940002
1,0.34,0.02,0.22,2,0.62,-0.01,-0.41,3,0.34,0.03,4.09,4,0.68,-0.02,12.53,1,0.34,0,0,2,0.61,0,0,3,0.45,0,0.74,4,0.67,0,13.01,0.1,-539.940002,73.309998,-529.030029,0,-540,56.950001,-538.97998
1,0.34,0.01,0.22,2,0.62,-0.03,-0.38,3,0.34,0.01,4.04,4,0.68,-0.02,12.52,1,0.45,0.03,-3.17,2,0.67,-0.13,-1.59,3,0.45,0,0.74,4,0.67,0,13,-1.76,-539.940002,73.309998,-529.030029,0,-540,56.75,-539
1,0.34,0.01,0.36,2,0.62,-0.02,-0.74,3,0.34,-0.01,4.13,4,0.68,-0.01,12.56,1,0.45,0.25,-3.16,2,0.66,-0.62,-1.57,3,0.45,0,0.74,4,0.67,0,13,0.96,-538.609985,73.209999,-528.98999,0,-540,56.75,-539
1,0.34,0.06,0.98,2,0.62,-0.16,-2.25,3,0.34,0.01,4.05,4,0.68,-0.05,12.6,1,0.46,0.47,-3.15,2,0.64,-1.03,-1.54,3,0.45,0,0.74,4,0.67,0,13,1.62,-535.859985,72.209999,-528.440002,0,-540,56.529999,-538.919983
1,0.35,0.19,1.39,2,0.61,-0.19,-1.79,3,0.34,0.03,4.07,4,0.68,-0.02,12.62,1,0.48,0.65,-3.12,2,0.61,-1.37,-1.48,3,0.45,0,0.73,4,0.67,0,13,2.19,-531.77002,70.75,-527.52002,0,-540,56.52,-538.830017
1,0.36,0.31,0.48,2,0.6,-0.39,-2.75,3,0.34,-0.03,4.07,4,0.68,-0.01,12.57,1,0.5,0.8,-3.05,2,0.57,-1.63,-1.39,3,0.45,0,0.73,4,0.67,0,13,1.71,-526.570007,67.870003,-525.859985,0,-540,56.830002,-538.75
1,0.38,0.48,0.56,2,0.57,-0.73,-2.91,3,0.34,-0.02,4.13,4,0.68,-0.01,12.56,1,0.52,0.89,-3.1,2,0.52,-1.82,-1.37,3,0.45,0,0.73,4,0.67,0,13.01,2.87,-519.799988,64.290001,-522.429993,0,-540,56.830002,-538.75
1,0.4,0.63,0.58,2,0.53,-1.02,-2.71,3,0.34,0.02,4.08,4,0.68,0.01,12.58,1,0.54,0.95,-3.06,2,0.52,-1.82,-1.37,3,0.45,0,0.74,4,0.67,0,13.02,2.98,-512.780029,60.43,-517.039978,0,-540,56.830002,-538.75
1,0.43,0.71,0.23,2,0.48,-1.2,-2.73,3,0.34,-0.02,4.1,4,0.68,0.02,12.61,1,0.54,0.95,-3.06,2,0.48,-1.91,-1.31,3,0.45,0,0.74,4,0.67,0,13.02,2.95,-505.309998,56.93,-509.890015,0,-540,56.830002,-538.75
1,0.47,0.73,0.16,2,0.43,-1.22,-2.63,3,0.34,0.02,4.05,4,0.68,0.02,12.58,1,0.56,0.96,-2.45,2,0.43,-1.93,-1,3,0.45,0,0.74,4,0.67,0,13.02,-9.97,-505.220001,53.220001,-501.820007,0,-540,56.73,-538.799988
1,0.5,0.82,0.19,2,0.38,-1.12,-2.66,3,0.34,0.02,4.04,4,0.68,0.02,12.58,1,0.59,0.94,-2.27,2,0.38,-1.86,-0.89,3,0.45,0,0.74,4,0.67,0,13.02,2.81,-496.940002,47.720001,-493.940002,0,-540,56.830002,-538.75
1,0.54,0.78,0.15,2,0.33,-1.02,-2.99,3,0.34,-0.01,4.1,4,0.68,-0.01,12.58,1,0.61,0.89,-2.09,2,0.34,-1.75,-0.81,3,0.45,0,0.74,4,0.67,0,13.02,2.6,-489.429993,41.029999,-486.660004,0,-540,56.830002,-538.75
1,0.57,0.69,0.15,2,0.29,-0.77,-2.73,3,0.34,-0.02,4.07,4,0.68,0.02,12.58,1,0.63,0.81,-1.85,2,0.3,-1.58,-0.7,3,0.45,0,0.74,4,0.67,0,13.02,2.38,-482.23999,34.049999,-480.440002,0,-540,56.73,-538.799988
1,0.6,0.7,-0.16,2,0.26,-0.73,-2.7,3,0.34,-0.01,4.07,4,0.68,-0.01,12.64,1,0.65,0.7,-1.56,2,0.26,-1.37,-0.58,3,0.45,0,0.74,4,0.67,0,13.02,1.32,-475.720001,26.5,-475.329987,0,-540,56.830002,-538.75
1,0.63,0.62,-0.76,2,0.24,-0.55,-2.94,3,0.34,0.01,4.09,4,0.68,0.02,12.6,1,0.67,0.58,-1.54,2,0.23,-1.1,-0.65,3,0.45,0,0.74,4,0.67,0,13.02,1.62,-469.630005,19.76,-470.730011,0,-540,56.73,-538.799988
