I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.31,0.01,1.54,2,0.66,0.01,12.59,3,0.34,-0.05,0.86,4,0.64,0.01,0.03,1,0.34,0,-6.08,2,0.62,0,1.54,3,0.45,0,0.81,4,0.67,0,13.62,72.139999,-528.710022,76.239998,-533.679993,0,-540,66.559998,-532.52002
1,0.31,-0.07,-5.27,2,0.65,0.02,0.89,3,0.34,-0.06,1.03,4,0.67,0.26,6.39,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.84,4,0.67,0,13.58,72.139999,-528.710022,82.099998,-531.169983,0,-540,61.650002,-536.369995
1,0.32,0.21,0.09,2,0.64,-0.18,-0.14,3,0.33,-0.19,3.8,4,0.69,0.06,14.42,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.79,4,0.67,0,13.24,72.139999,-528.710022,79.529999,-530.640015,0,-540,57.369999,-539.969971
1,0.32,0.18,0.07,2,0.63,-0.16,-0.14,3,0.33,-0.03,3.27,4,0.7,0.1,13.05,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.74,4,0.67,0,12.89,72.139999,-528.710022,78.040001,-529.659973,0,-540,58.759998,-540.26001
1,0.33,0.09,0.15,2,0.63,-0.01,-0.25,3,0.33,0.01,3.14,4,0.7,0.01,12.75,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.76,4,0.67,0,12.89,72.139999,-528.710022,76.379997,-529.590027,0,-540,59.279999,-540.25
1,0.33,-0.02,0.27,2,0.63,0.02,-0.23,3,0.33,-0.01,3.18,4,0.69,-0.01,12.36,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.76,4,0.67,0,12.85,72.139999,-528.710022,75.980003,-529.650024,0,-540,59.360001,-540.090027
1,0.33,-0.03,0.25,2,0.63,0.02,-0.22,3,0.33,-0.02,3.27,4,0.7,0.03,12.36,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.77,4,0.67,0,12.85,72.139999,-528.710022,75.879997,-529.710022,0,-540,59.580002,-540.169983
1,0.33,0.03,0.24,2,0.63,-0.01,-0.22,3,0.33,-0.01,3.23,4,0.7,0.01,12.32,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.77,4,0.67,0,12.87,72.139999,-528.710022,75.879997,-529.710022,0,-540,59.580002,-540.169983
1,0.33,0.02,0.24,2,0.63,-0.03,-0.2,3,0.33,-0.02,3.23,4,0.7,-0.01,12.32,1,0.34,0,0,2,0.62,0,0,3,0.45,0,0.77,4,0.67,0,12.86,12.45,-533.469971,75.879997,-529.710022,0,-540,59.580002,-540.169983
1,0.33,0.01,0.23,2,0.63,0.02,-0.21,3,0.33,0.02,3.19,4,0.7,0.02,12.34,1,0.45,0.1,-3.28,2,0.67,-0.27,-1.63,3,0.45,0,0.77,4,0.67,0,12.86,-2.54,-539.73999,75.879997,-529.710022,0,-540,59.380001,-540.190002
1,0.33,0.01,0.55,2,0.63,-0.02,-1,3,0.33,0.02,3.2,4,0.7,-0.01,12.32,1,0.46,0.32,-3.27,2,0.65,-0.75,-1.6,3,0.45,0,0.77,4,0.67,0,12.86,1.13,-537.940002,75.769997,-529.679993,0,-540,59.470001,-540.130005
1,0.33,0.02,1.09,2,0.63,-0.02,-0.99,3,0.33,-0.01,3.27,4,0.7,0.01,12.34,1,0.47,0.52,-3.25,2,0.63,-1.14,-1.56,3,0.45,0,0.77,4,0.67,0,12.86,1.82,-534.77002,75.57,-529.710022,0,-540,59.380001,-540.190002
1,0.33,0.07,1.53,2,0.63,-0.07,-1.91,3,0.33,-0.02,3.24,4,0.7,0.01,12.34,1,0.48,0.69,-3.22,2,0.6,-1.46,-1.5,3,0.45,0,0.77,4,0.67,0,12.86,2.34,-530.320007,75.199997,-529.289978,0,-540,59.380001,-540.190002
1,0.34,0.19,1.2,2,0.62,-0.28,-2.61,3,0.33,0.01,3.19,4,0.7,0.02,12.34,1,0.5,0.82,-3.22,2,0.56,-1.7,-1.44,3,0.45,0,0.77,4,0.67,0,12.86,2.75,-524.679993,73.75,-528.48999,0,-540,59.470001,-540.130005
1,0.35,0.46,1.09,2,0.6,-0.61,-2.86,3,0.33,-0.01,3.22,4,0.7,-0.02,12.35,1,0.52,0.91,-3.2,2,0.51,-1.85,-1.37,3,0.45,0,0.77,4,0.67,0,12.86,2.92,-518.099976,71.349998,-525.940002,0,-540,59.470001,-540.130005
1,0.37,0.62,1.05,2,0.57,-0.94,-2.85,3,0.33,-0.02,3.27,4,0.7,0.02,12.33,1,0.55,0.96,-2.92,2,0.51,-1.85,-1.37,3,0.45,0,0.77,4,0.67,0,12.86,2.01,-510.940002,67.610001,-521.460022,0,-540,59.470001,-540.130005
1,0.4,0.75,0.8,2,0.52,-1.21,-2.72,3,0.33,-0.02,3.22,4,0.7,0.01,12.38,1,0.55,0.96,-2.92,2,0.47,-1.92,-1.18,3,0.45,0,0.77,4,0.67,0,12.86,-10.14,-510.839996,63.07,-514.929993,0,-540,59.470001,-540.130005
1,0.44,0.9,0.63,2,0.47,-1.23,-2.48,3,0.33,-0.01,3.19,4,0.7,0.02,12.33,1,0.57,0.96,-2.73,2,0.42,-1.91,-1.04,3,0.45,0,0.77,4,0.67,0,12.86,-8.75,-502.600006,57.439999,-507.429993,0,-540,59.470001,-540.130005
1,0.48,0.88,0.37,2,0.41,-1.14,-2.55,3,0.33,-0.01,3.21,4,0.7,0.02,12.34,1,0.59,0.93,-2.51,2,0.37,-1.84,-0.92,3,0.45,0,0.77,4,0.67,0,12.86,2.78,-494.98999,50.23,-499.940002,0,-540,59.470001,-540.130005
1,0.52,0.86,0.26,2,0.37,-0.82,-1.75,3,0.33,-0.01,3.25,4,0.7,-0.01,12.35,1,0.62,0.87,-2.25,2,0.33,-1.71,-0.79,3,0.45,0,0.77,4,0.67,0,12.86,2.59,-487.480011,40.43,-494.130005,0,-540,59.470001,-540.130005
1,0.55,0.75,0.19,2,0.34,-0.81,-1.74,3,0.33,0.03,3.22,4,0.7,0.02,12.33,1,0.64,0.79,-1.94,2,0.29,-1.52,-0.64,3,0.45,0,0.77,4,0.67,0,12.86,2.29,-480.380005,31.65,-488.820007,0,-540,59.68,-540.109985
1,0.58,0.62,-0.55,2,0.31,-0.63,-2.15,3,0.33,-0.01,3.27,4,0.7,0.02,12.33,1,0.66,0.67,-1.84,2,0.25,-1.3,-0.67,3,0.45,0,0.77,4,0.67,0,12.86,1.29,-474.059998,24.84,-483.859985,0,-540,59.68,-540.109985
1,0.6,0.51,-0.38,2,0.28,-0.48,-2.4,3,0.33,0.01,3.23,4,0.7,-0.01,12.34,1,0.67,0.54,-1.45,2,0.22,-1.04,-0.48,3,0.45,0,0.77,4,0.67,0,12.87,1.04,-468.640015,18.58,-479.779999,0,-540,59.68,-540.109985
