I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
0,1.2,3.4,0,1,0.3,-0.01,1.03,2,0.63,-0.02,-0.63,3,0.32,-0.05,-0.63,4,0.66,0.1,0.55,1,0.45,0,-3.64,2,0.67,0,-1.78,3,0.45,0,-2.95,4,0.67,0,-1.43,0,-540,72.970001,-533.27002
0,1.2,3.4,0,1,0.3,-0.02,1.02,2,0.63,-0.03,-0.56,3,0.32,-0.05,-0.63,4,0.65,0.06,0.62,1,0.45,0,-3.64,2,0.67,0,-1.78,3,0.45,0,-2.94,4,0.67,0,-1.43,0,-540,72.870003,-532.570007
0,1.2,3.4,0,1,0.3,0.02,0.98,2,0.63,-0.03,-0.54,3,0.33,0.01,-0.83,4,0.65,0.07,0.51,1,0.45,0,-3.64,2,0.67,0,-1.78,3,0.45,0,-2.94,4,0.67,0,-1.43,0,-540,72.82,-532.169983
0,1.2,3.4,0,1,0.3,0.01,0.96,2,0.63,-0.02,-0.56,3,0.33,-0.05,-0.73,4,0.64,-0.01,0.72,1,0.45,0,-3.64,2,0.67,0,-1.78,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.379997,-531.780029
0,1.2,3.4,0,1,0.3,-0.03,0.95,2,0.63,-0.03,-0.56,3,0.33,-0.01,-0.79,4,0.64,-0.02,0.66,1,0.45,0,-3.64,2,0.67,0,-1.78,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.480003,-531.710022
0,1.2,3.4,0,1,0.3,0.04,1.01,2,0.63,-0.01,-0.54,3,0.33,0.01,-0.81,4,0.64,0.02,0.53,1,0.45,0,-3.63,2,0.67,0,-1.78,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.860001,-531.450012
0,1.2,3.4,0,1,0.3,-0.02,0.98,2,0.63,-0.01,-0.56,3,0.33,-0.01,-0.75,4,0.64,0.01,0.61,1,0.45,0,-3.63,2,0.67,0,-1.78,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.949997,-531.390015
0,1.2,3.4,0,1,0.3,-0.01,0.99,2,0.63,0.01,-0.56,3,0.33,0.03,-0.8,4,0.64,-0.01,0.63,1,0.45,0,-3.63,2,0.67,0,-1.78,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.949997,-531.390015
0,1.2,3.4,0,1,0.3,-0.01,1.01,2,0.63,-0.02,-0.56,3,0.33,0.01,-0.8,4,0.64,-0.02,0.65,1,0.45,0.07,-4.01,2,0.67,0,-1.78,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.949997,-531.390015
0,1.2,3.4,0,1,0.3,0.01,1.02,2,0.63,-0.02,-0.58,3,0.33,-0.01,-0.76,4,0.64,-0.01,0.64,1,0.45,0.07,-4.01,2,0.67,-0.26,-1.97,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,73.949997,-531.390015
0,1.2,3.4,0,1,0.3,0.04,0.72,2,0.63,-0.05,-1.58,3,0.33,0.02,-0.8,4,0.64,-0.01,0.61,1,0.46,0.3,-4,2,0.65,-0.71,-1.95,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.050003,-531.330017
0,1.2,3.4,0,1,0.3,0.18,1.06,2,0.62,-0.23,-2.8,3,0.33,-0.03,-0.73,4,0.64,0.03,0.44,1,0.47,0.51,-3.97,2,0.63,-1.11,-1.9,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.129997,-531.159973
0,1.2,3.4,0,1,0.32,0.39,0.81,2,0.6,-0.61,-2.72,3,0.33,0.02,-0.78,4,0.64,0.01,0.5,1,0.48,0.68,-3.94,2,0.6,-1.44,-1.84,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.5,-530.900024
0,1.2,3.4,0,1,0.34,0.53,1.08,2,0.57,-0.63,-1.98,3,0.33,-0.02,-0.8,4,0.64,-0.01,0.48,1,0.5,0.82,-3.85,2,0.56,-1.68,-1.75,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.690002,-530.77002
0,1.2,3.4,0,1,0.37,0.68,0.9,2,0.54,-0.86,-2.3,3,0.33,0.02,-0.78,4,0.64,-0.02,0.44,1,0.52,0.91,-3.7,2,0.52,-1.84,-1.63,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.879997,-530.640015
0,1.2,3.4,0,1,0.4,0.68,0.02,2,0.5,-1,-2.56,3,0.33,-0.03,-0.83,4,0.64,0.02,0.47,1,0.55,0.96,-3.78,2,0.47,-1.92,-1.66,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.43,0.78,-0.21,2,0.45,-1.13,-2.6,3,0.33,-0.02,-0.74,4,0.64,0.02,0.51,1,0.57,0.96,-3.54,2,0.47,-1.92,-1.66,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.46,0.78,-0.46,2,0.4,-1.17,-2.55,3,0.33,0.03,-0.8,4,0.64,-0.01,0.47,1,0.59,0.93,-2.64,2,0.42,-1.92,-1.52,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.5,0.74,-0.44,2,0.35,-1.11,-2.71,3,0.33,-0.01,-0.8,4,0.64,-0.03,0.47,1,0.59,0.93,-2.64,2,0.37,-1.84,-1.1,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.53,0.74,0.13,2,0.3,-0.98,-2.47,3,0.33,-0.01,-0.85,4,0.64,0.01,0.48,1,0.62,0.87,-2.38,2,0.33,-1.71,-0.98,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.56,0.7,-0.03,2,0.27,-0.79,-2.69,3,0.33,-0.02,-0.81,4,0.64,0.01,0.47,1,0.64,0.78,-2.13,2,0.29,-1.53,-0.87,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.59,0.69,-0.2,2,0.24,-0.62,-2.62,3,0.33,0.03,-0.81,4,0.64,-0.04,0.48,1,0.66,0.67,-1.88,2,0.25,-1.29,-0.76,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.62,0.54,-0.27,2,0.21,-0.56,-2.52,3,0.33,-0.02,-0.8,4,0.64,0.01,0.47,1,0.67,0.55,-1.6,2,0.22,-1.05,-0.66,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
0,1.2,3.4,0,1,0.64,0.38,-0.26,2,0.19,-0.4,-2.53,3,0.33,0.02,-0.81,4,0.64,0.01,0.52,1,0.68,0.4,-1.51,2,0.2,-0.74,-0.69,3,0.45,0,-2.93,4,0.67,0,-1.42,0,-540,74.970001,-530.570007
