I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.35,-0.02,0.07,2,0.6,0.01,0.02,3,0.33,0.02,-0.23,4,0.65,0.03,1.26,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.87,4,0.67,0,-1.41,69.879997,-525.599976,70.970001,-525.400024,0,-540,68.470001,-533.669983
1,0.35,-0.03,0.07,2,0.6,-0.02,0.04,3,0.33,0.01,0.22,4,0.65,-0.05,0.17,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.87,4,0.67,0,-1.42,69.879997,-525.599976,70.970001,-525.400024,0,-540,68.639999,-533.440002
1,0.35,-0.03,0.06,2,0.6,-0.02,0.07,3,0.33,0.09,0.4,4,0.65,-0.11,-0.44,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.87,4,0.67,0,-1.42,69.879997,-525.599976,70.970001,-525.400024,0,-540,68.18,-533.090027
1,0.35,-0.03,0.08,2,0.6,-0.01,0.01,3,0.33,0.04,0.6,4,0.64,-0.06,-0.4,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.87,4,0.67,0,-1.42,69.879997,-525.599976,70.970001,-525.400024,0,-540,69.010002,-532.309998
1,0.35,-0.03,0.06,2,0.6,0.01,0.08,3,0.33,0.02,0.58,4,0.64,-0.14,-0.09,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.87,4,0.67,0,-1.42,69.879997,-525.599976,70.970001,-525.400024,0,-540,70.059998,-531.609985
1,0.35,-0.02,0.07,2,0.6,0.01,0.02,3,0.33,0.03,0.61,4,0.64,-0.02,-0.46,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.87,4,0.67,0,-1.41,69.879997,-525.599976,70.970001,-525.400024,0,-540,70.720001,-531.159973
1,0.35,-0.03,0.11,2,0.6,-0.01,0.03,3,0.33,0.01,0.62,4,0.64,-0.02,-0.49,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.86,4,0.67,0,-1.41,69.879997,-525.599976,70.970001,-525.400024,0,-540,70.720001,-531.159973
1,0.35,-0.01,0.07,2,0.6,-0.02,0.04,3,0.33,0.01,0.63,4,0.64,-0.03,-0.45,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.86,4,0.67,0,-1.41,69.879997,-525.599976,70.769997,-525.419983,0,-540,70.720001,-531.159973
1,0.35,-0.01,0.05,2,0.6,-0.02,0.05,3,0.33,-0.01,0.62,4,0.64,-0.02,-0.46,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.86,4,0.67,0,-1.41,69.879997,-525.599976,70.970001,-525.400024,0,-540,70.720001,-531.159973
1,0.35,-0.03,0.08,2,0.6,-0.01,0.05,3,0.33,-0.02,0.63,4,0.64,0.05,-0.47,1,0.35,0,0,2,0.6,0,0,3,0.45,0,-2.86,4,0.67,0,-1.41,69.879997,-525.599976,70.970001,-525.400024,0,-540,70.720001,-531.159973
1,0.35,0.02,0.05,2,0.6,-0.03,0.07,3,0.33,0.03,0.61,4,0.64,-0.02,-0.44,1,0.45,0.17,-3.06,2,0.66,-0.45,-1.58,3,0.45,0,-2.86,4,0.67,0,-1.41,0.66,-539.280029,70.970001,-525.400024,0,-540,70.720001,-531.159973
1,0.35,0.01,0.07,2,0.6,0.01,0.03,3,0.33,0.01,0.63,4,0.64,-0.03,-0.45,1,0.46,0.41,-3.05,2,0.65,-0.88,-1.55,3,0.45,0,-2.86,4,0.67,0,-1.41,0.93,-537.090027,70.970001,-525.400024,0,-540,70.720001,-531.159973
1,0.35,-0.01,0.52,2,0.6,0.02,-1.33,3,0.33,0.01,0.6,4,0.64,0.01,-0.48,1,0.47,0.6,-3.03,2,0.62,-1.28,-1.49,3,0.45,0,-2.86,4,0.67,0,-1.41,2.04,-533.150024,70.849998,-525.25,0,-540,70.720001,-531.159973
1,0.36,0.1,1.22,2,0.59,-0.2,-2.4,3,0.33,-0.01,0.61,4,0.64,0.01,-0.46,1,0.49,0.75,-3.01,2,0.62,-1.28,-1.49,3,0.45,0,-2.86,4,0.67,0,-1.41,2.49,-528.159973,71.32,-524.210022,0,-540,70.809998,-531.090027
1,0.37,0.36,1.19,2,0.57,-0.52,-2.99,3,0.33,-0.01,0.62,4,0.64,-0.01,-0.45,1,0.49,0.75,-3.01,2,0.58,-1.57,-1.42,3,0.45,0,-2.86,4,0.67,0,-1.41,-8.04,-528.099976,69.309998,-522.119995,0,-540,70.809998,-531.090027
1,0.39,0.54,0.88,2,0.54,-0.88,-2.83,3,0.33,0.01,0.58,4,0.64,0.02,-0.47,1,0.51,0.86,-3.04,2,0.54,-1.77,-1.36,3,0.45,0,-2.86,4,0.67,0,-1.41,-8.89,-522.119995,66.599998,-517.590027,0,-540,70.809998,-531.090027
1,0.42,0.69,0.59,2,0.5,-0.97,-3.21,3,0.33,-0.01,0.61,4,0.64,-0.02,-0.47,1,0.53,0.93,-3.11,2,0.5,-1.89,-1.04,3,0.45,0,-2.86,4,0.67,0,-1.41,3,-515.309998,62.48,-511.730011,0,-540,70.809998,-531.090027
1,0.45,0.75,0.39,2,0.45,-1.13,-2.8,3,0.33,0.01,0.63,4,0.64,-0.01,-0.45,1,0.56,0.96,-2.72,2,0.45,-1.93,-0.87,3,0.45,0,-2.86,4,0.67,0,-1.41,3.05,-507.890015,57.540001,-504.859985,0,-540,70.809998,-531.090027
1,0.48,0.79,0.38,2,0.41,-0.91,-2.3,3,0.33,0.01,0.65,4,0.64,-0.03,-0.47,1,0.58,0.95,-2.51,2,0.4,-1.9,-0.71,3,0.45,0,-2.86,4,0.67,0,-1.41,1.99,-500.190002,50.75,-498.429993,0,-540,70.809998,-531.090027
1,0.52,0.78,0.25,2,0.37,-0.89,-2.6,3,0.33,0.03,0.59,4,0.64,0.01,-0.44,1,0.6,0.91,-2.27,2,0.35,-1.8,-0.57,3,0.45,0,-2.86,4,0.67,0,-1.41,1.92,-492.380005,42.759998,-492.640015,0,-540,70.809998,-531.090027
1,0.55,0.82,-0.73,2,0.33,-0.85,-2.91,3,0.33,0.01,0.65,4,0.64,0.01,-0.45,1,0.63,0.84,-1.97,2,0.31,-1.65,-0.42,3,0.45,0,-2.86,4,0.67,0,-1.41,1.66,-484.859985,34.790001,-486.950012,0,-540,70.809998,-531.090027
1,0.58,0.72,-0.79,2,0.3,-0.8,-3.01,3,0.33,0.01,0.63,4,0.64,-0.01,-0.47,1,0.65,0.74,-1.64,2,0.31,-1.65,-0.42,3,0.45,0,-2.86,4,0.67,0,-1.41,2.15,-477.48999,26.469999,-481.540009,0,-540,70.809998,-531.090027
1,0.61,0.63,-0.73,2,0.27,-0.66,-2.94,3,0.33,-0.01,0.62,4,0.64,0.02,-0.45,1,0.65,0.74,-1.64,2,0.27,-1.43,-0.26,3,0.45,0,-2.86,4,0.67,0,-1.41,1.77,-471.549988,19.27,-476.369995,0,-540,70.809998,-531.090027
1,0.64,0.52,-0.38,2,0.24,-0.54,-2.99,3,0.33,0.02,0.62,4,0.64,0.02,-0.44,1,0.66,0.63,-1.61,2,0.24,-1.19,-0.34,3,0.45,0,-2.86,4,0.67,0,-1.41,-4.77,-471.519989,13.32,-471.950012,0,-540,70.809998,-531.090027
1,0.66,0.41,-0.62,2,0.22,-0.4,-2.96,3,0.33,0.01,0.64,4,0.64,-0.01,-0.46,1,0.68,0.5,-1.25,2,0.21,-0.92,0.01,3,0.45,0,-2.86,4,0.67,0,-1.41,-3.51,-466.649994,8.39,-468.369995,0,-540,70.809998,-531.090027
1,0.67,0.26,-0.17,2,0.21,-0.29,-2.47,3,0.33,-0.03,0.64,4,0.64,-0.01,-0.45,1,0.69,0.35,-0.49,2,0.19,-0.63,0.07,3,0.45,0,-2.86,4,0.67,0,-1.41,0.94,-463.040009,4.88,-465.899994,0,-540,70.809998,-531.090027
1,0.68,0.14,0.49,2,0.2,-0.19,-2.71,3,0.33,-0.01,0.62,4,0.64,0.01,-0.49,1,0.69,0.19,-0.31,2,0.18,-0.32,0.08,3,0.45,0,-2.86,4,0.67,0,-1.41,0.33,-460.790009,2.92,-464.179993,0,-540,70.809998,-531.090027
1,0.69,0.01,0.53,2,0.2,-0.06,-2.33,3,0.33,0.03,0.64,4,0.64,0.01,-0.47,1,0.7,0.03,-0.18,2,0.18,0.02,0.07,3,0.45,0,-2.86,4,0.67,0,-1.41,0.03,-460,1.06,-463.679993,0,-540,70.720001,-531.159973
1,0.68,-0.03,0.73,2,0.2,0.01,-1.65,3,0.33,-0.01,0.58,4,0.64,0.01,-0.48,1,0.7,-0.13,-0.11,2,0.18,0.33,0.04,3,0.45,0,-2.86,4,0.67,0,-1.41,-0.42,-460.829987,1.15,-463.76001,0,-540,70.809998,-531.090027
1,0.68,-0.01,0.47,2,0.2,0.02,-0.59,3,0.33,-0.01,0.65,4,0.64,0.01,-0.48,1,0.69,-0.28,-0.04,2,0.18,0.33,0.04,3,0.45,0,-2.86,4,0.67,0,-1.41,-0.85,-463.100006,1.41,-464.119995,0,-540,70.809998,-531.090027
1,0.68,-0.06,0.04,2,0.2,0.09,0.35,3,0.33,0.01,0.63,4,0.64,0.02,-0.46,1,0.68,-0.43,-0.03,2,0.19,0.64,-0.01,3,0.45,0,-2.86,4,0.67,0,-1.41,-1.29,-466.790009,1.41,-464.700012,0,-540,70.809998,-531.090027
1,0.68,-0.18,-0.04,2,0.21,0.27,0.9,3,0.33,-0.01,0.62,4,0.64,-0.01,-0.44,1,0.68,-0.43,-0.03,2,0.21,0.93,-0.07,3,0.45,0,-2.86,4,0.67,0,-1.41,4.99,-466.76001,2.22,-466.5,0,-540,70.809998,-531.090027
1,0.66,-0.39,0.33,2,0.23,0.41,1.42,3,0.33,0.02,0.62,4,0.64,0.02,-0.48,1,0.67,-0.58,-0.03,2,0.24,1.2,-0.19,3,0.45,0,-2.86,4,0.67,0,-1.41,6.3,-471.649994,4.74,-469.630005,0,-540,70.809998,-531.090027
1,0.64,-0.58,0.83,2,0.25,0.57,1.82,3,0.33,0.02,0.62,4,0.64,-0.01,-0.45,1,0.65,-0.7,-0.08,2,0.27,1.45,-0.34,3,0.45,0,-2.86,4,0.67,0,-1.41,-2.13,-478.209991,9.85,-473.790009,0,-540,70.720001,-531.159973
1,0.61,-0.66,0.97,2,0.28,0.58,1.07,3,0.33,0.02,0.61,4,0.64,0.03,-0.48,1,0.63,-0.8,-0.18,2,0.31,1.65,-0.52,3,0.45,0,-2.86,4,0.67,0,-1.41,-2.45,-485.079987,16.610001,-478.269989,0,-540,70.720001,-531.159973
1,0.58,-0.73,1.1,2,0.31,0.75,1.45,3,0.33,-0.02,0.64,4,0.64,-0.01,-0.48,1,0.61,-0.88,-0.39,2,0.36,1.8,-0.71,3,0.45,0,-2.86,4,0.67,0,-1.41,-2.71,-492.51001,24.18,-483.559998,0,-540,70.720001,-531.159973
1,0.55,-0.79,2.25,2,0.34,0.79,1.96,3,0.33,0.01,0.63,4,0.64,0.01,-0.47,1,0.59,-0.94,-0.66,2,0.4,1.9,-0.93,3,0.45,0,-2.86,4,0.67,0,-1.41,-2.9,-500.179993,32.32,-489.109985,0,-540,70.809998,-531.090027
1,0.51,-0.81,2.33,2,0.38,0.93,1.96,3,0.33,-0.01,0.64,4,0.64,-0.02,-0.43,1,0.57,-0.96,-0.98,2,0.45,1.93,-1.13,3,0.45,0,-2.86,4,0.67,0,-1.41,-2,-507.869995,40.419998,-495.230011,0,-540,70.809998,-531.090027
1,0.48,-0.82,2.2,2,0.42,1,1.79,3,0.33,0.02,0.62,4,0.64,0.04,-0.5,1,0.55,-0.96,-2.03,2,0.45,1.93,-1.13,3,0.45,0,-2.86,4,0.67,0,-1.41,0,-510.380005,48.279999,-501.75,0,-540,70.809998,-531.090027
1,0.44,-0.85,2.18,2,0.47,1.02,1.85,3,0.33,0.03,0.61,4,0.64,0.03,-0.45,1,0.55,-0.96,-2.03,2,0.46,1.92,-1.47,3,0.45,0,-2.86,4,0.67,0,-1.41,1,-510.380005,56.34,-508.149994,0,-540,70.809998,-531.090027
1,0.4,-0.83,1.82,2,0.51,0.81,1.64,3,0.33,-0.01,0.62,4,0.64,0.02,-0.48,1,0.55,-0.96,-2.04,2,0.54,1.76,-1.57,3,0.45,0,-2.86,4,0.67,0,-1.41,9.11,-522.289978,65.550003,-513.289978,0,-540,70.809998,-531.090027
1,0.37,-0.79,2.57,2,0.54,0.79,2.2,3,0.33,0.01,0.64,4,0.64,0.02,-0.44,1,0.5,-0.8,-2.38,2,0.58,1.56,-1.73,3,0.45,0,-2.86,4,0.67,0,-1.41,-1.74,-528.369995,74.620003,-517.409973,0,-540,70.809998,-531.090027
1,0.34,-0.7,1.79,2,0.58,0.68,1.7,3,0.33,0.01,0.64,4,0.64,0.01,-0.48,1,0.48,-0.66,-2.79,2,0.62,1.26,-1.88,3,0.45,0,-2.86,4,0.67,0,-1.41,-1.47,-533.369995,83.82,-520.599976,0,-540,70.809998,-531.090027
1,0.31,-0.6,1.99,2,0.6,0.57,1.6,3,0.33,0.03,0.59,4,0.64,0.03,-0.45,1,0.46,-0.48,-3.2,2,0.65,0.86,-2.03,3,0.45,0,-2.86,4,0.67,0,-1.41,-1.49,-537.219971,92.029999,-523.150024,0,-540,70.809998,-531.090027
1,0.29,-0.49,2.15,2,0.63,0.46,1.36,3,0.33,-0.01,0.6,4,0.64,0.01,-0.47,1,0.45,-0.27,-3.61,2,0.66,0.43,-2.15,3,0.45,0,-2.86,4,0.67,0,-1.41,-0.8,-539.349976,98.580002,-525.059998,0,-540,70.809998,-531.090027
1,0.27,-0.21,1.5,2,0.64,0.2,0.66,3,0.33,0.01,0.65,4,0.64,-0.03,-0.47,1,0.45,-0.04,-3.98,2,0.67,0,-2.22,3,0.45,0,-2.86,4,0.67,0,-1.41,-0.04,-540,103.209999,-525.909973,0,-540,70.809998,-531.090027
1,0.27,-0.01,1.08,2,0.64,0.05,-0.13,3,0.33,0.02,0.58,4,0.64,0.02,-0.47,1,0.45,0,-4.51,2,0.67,0,-2.22,3,0.45,0,-2.86,4,0.67,0,-1.41,0,-540,105.330002,-526.119995,0,-540,70.809998,-531.090027
