I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45
0.000000,1.200000,3.400000,0.000000,1.000000,0.301000,0.190000,8.160000,2.000000,0.696000,-0.070000,1.090000,3.000000,0.534000,-0.010000,4.870000,4.000000,0.691000,0.100000,0.250000,1.000000,0.318000,0.290000,0.600000,2.000000,0.698000,-0.120000,0.300000,3.000000,0.543000,0.180000,0.300000,4.000000,0.691000,0.100000,0.150000,160.000000,0.800000,64.250000,-540.000000,74.440002,-538.530029,-55.750000,-540.000000,-50.830002,-540.349976
0.000000,1.200000,3.400000,0.000000,1.000000,0.304000,0.220000,7.900000,2.000000,0.696000,-0.050000,0.780000,3.000000,0.534000,-0.020000,5.450000,4.000000,0.691000,0.030000,0.490000,1.000000,0.320000,0.290000,0.590000,2.000000,0.698000,-0.120000,0.290000,3.000000,0.544000,0.180000,0.310000,4.000000,0.692000,0.100000,0.150000,160.000000,0.800000,63.500000,-540.000000,73.610001,-538.549988,-56.500000,-540.000000,-51.150002,-540.469971
0.000000,1.200000,3.400000,0.000000,1.000000,0.306000,0.210000,7.690000,2.000000,0.696000,-0.010000,0.380000,3.000000,0.534000,0.020000,5.600000,4.000000,0.691000,-0.020000,0.750000,1.000000,0.321000,0.290000,0.580000,2.000000,0.697000,-0.110000,0.290000,3.000000,0.545000,0.180000,0.320000,4.000000,0.692000,0.100000,0.160000,160.000000,0.800000,62.750000,-540.000000,72.269997,-538.679993,-57.250000,-540.000000,-51.259998,-540.510010
0.000000,1.200000,3.400000,0.000000,1.000000,0.308000,0.200000,7.210000,2.000000,0.696000,0.010000,0.200000,3.000000,0.534000,-0.010000,6.420000,4.000000,0.691000,0.010000,1.040000,1.000000,0.323000,0.280000,0.550000,2.000000,0.696000,-0.110000,0.270000,3.000000,0.546000,0.180000,0.350000,4.000000,0.693000,0.100000,0.180000,160.000000,0.800000,62.000000,-540.000000,71.029999,-538.849976,-58.000000,-540.000000,-51.259998,-540.510010
0.000000,1.200000,3.400000,0.000000,1.000000,0.311000,0.240000,6.840000,2.000000,0.696000,-0.030000,-0.040000,3.000000,0.534000,0.030000,6.840000,4.000000,0.691000,0.020000,1.410000,1.000000,0.324000,0.280000,0.510000,2.000000,0.696000,-0.110000,0.250000,3.000000,0.547000,0.180000,0.380000,4.000000,0.693000,0.110000,0.190000,160.000000,0.800000,61.500000,-540.000000,70.010002,-538.979980,-58.500000,-540.000000,-51.259998,-540.510010
0.000000,1.200000,3.400000,0.000000,1.000000,0.314000,0.180000,6.420000,2.000000,0.696000,0.020000,-0.300000,3.000000,0.534000,0.030000,7.160000,4.000000,0.691000,0.020000,1.600000,1.000000,0.326000,0.280000,0.490000,2.000000,0.695000,-0.110000,0.240000,3.000000,0.548000,0.180000,0.420000,4.000000,0.694000,0.110000,0.210000,160.000000,0.800000,60.750000,-540.000000,68.360001,-539.190002,-59.250000,-540.000000,-51.259998,-540.510010
0.000000,1.200000,3.400000,0.000000,1.000000,0.316000,0.210000,5.660000,2.000000,0.696000,0.010000,-0.620000,3.000000,0.535000,0.010000,7.580000,4.000000,0.692000,0.040000,1.650000,1.000000,0.327000,0.280000,0.440000,2.000000,0.694000,-0.110000,0.220000,3.000000,0.549000,0.170000,0.460000,4.000000,0.694000,0.110000,0.230000,160.000000,0.800000,60.000000,-540.000000,67.129997,-539.349976,-60.000000,-540.000000,-51.470001,-540.489990
0.000000,1.200000,3.400000,0.000000,1.000000,0.319000,0.160000,5.260000,2.000000,0.696000,-0.030000,-0.910000,3.000000,0.535000,0.060000,7.900000,4.000000,0.692000,0.040000,1.650000,1.000000,0.329000,0.280000,0.420000,2.000000,0.694000,-0.110000,0.200000,3.000000,0.550000,0.170000,0.500000,4.000000,0.695000,0.110000,0.260000,160.000000,0.800000,59.250000,-540.000000,65.889999,-539.500000,-60.750000,-540.000000,-51.580002,-540.520020
0.000000,1.200000,3.400000,0.000000,1.000000,0.320000,0.150000,5.310000,2.000000,0.696000,-0.020000,-1.230000,3.000000,0.535000,0.050000,8.220000,4.000000,0.693000,0.130000,1.540000,1.000000,0.331000,0.280000,0.390000,2.000000,0.693000,-0.110000,0.190000,3.000000,0.551000,0.170000,0.530000,4.000000,0.696000,0.110000,0.270000,160.000000,0.800000,58.500000,-540.000000,64.550003,-539.609985,-61.500000,-540.000000,-51.889999,-540.539978
0.000000,1.200000,3.400000,0.000000,1.000000,0.322000,0.180000,4.840000,2.000000,0.696000,-0.040000,-1.360000,3.000000,0.535000,0.050000,8.690000,4.000000,0.694000,0.090000,1.460000,1.000000,0.333000,0.280000,0.360000,2.000000,0.693000,-0.100000,0.170000,3.000000,0.552000,0.170000,0.560000,4.000000,0.696000,0.110000,0.290000,160.000000,0.800000,57.750000,-540.000000,63.520000,-539.739990,-62.250000,-540.000000,-52.419998,-540.640015
