I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1,0.33,-0.04,1.5,2,0.66,-0.02,12.17,3,0.43,0.03,0.36,4,0.62,0.02,1.74,1,0.36,0,-1.21,2,0.61,0,6.5,3,0.45,0,0.51,4,0.67,0,3.48,63.209999,-527.72998,65.260002,-535.340027,0,-540,23.110001,-533.530029
1,0.33,-0.03,1.51,2,0.66,0.02,12.12,3,0.43,0.02,0.92,4,0.63,0.01,4.37,1,0.36,0,-3.58,2,0.61,0,6.5,3,0.45,0,3,4,0.67,0,9.88,63.209999,-527.72998,65.269997,-535.440002,0,-540,22.120001,-534.090027
1,0.33,0.01,-0.58,2,0.66,-0.05,5.62,3,0.44,0.21,3.02,4,0.63,-0.03,4.44,1,0.36,0,-3.58,2,0.61,0,1.48,3,0.45,0,3.11,4,0.67,0,12.76,63.209999,-527.72998,67.540001,-534.5,0,-540,18.450001,-534.340027
1,0.33,0.11,-3.11,2,0.65,-0.11,0.72,3,0.44,-0.13,3.64,4,0.64,0.03,10.53,1,0.36,0,-1.02,2,0.61,0,0.16,3,0.45,0,0.3,4,0.67,0,13.51,63.209999,-527.72998,68.400002,-533.159973,0,-540,16.65,-535.330017
1,0.34,0.16,-0.71,2,0.64,-0.2,-0.29,3,0.43,-0.14,3.93,4,0.64,0.16,12.84,1,0.36,0,0,2,0.61,0,0,3,0.45,0,0.22,4,0.67,0,13.37,63.209999,-527.72998,66.769997,-532.5,0,-540,15.96,-536.429993
1,0.35,0.15,0.07,2,0.63,-0.22,-0.33,3,0.43,-0.07,0.86,4,0.65,0.1,13.88,1,0.36,0,0,2,0.61,0,0,3,0.45,0,0.19,4,0.67,0,13.26,63.209999,-527.72998,65.489998,-531.359985,0,-540,18.959999,-537.200012
1,0.35,-0.03,0.33,2,0.63,0.02,-0.57,3,0.42,-0.02,0.78,4,0.65,-0.02,13.74,1,0.36,0,0,2,0.61,0,0,3,0.45,0,0.25,4,0.67,0,13.2,63.209999,-527.72998,64.050003,-531.330017,0,-540,18.870001,-537.450012
1,0.35,-0.03,0.3,2,0.63,0.03,-0.54,3,0.42,0.03,0.73,4,0.65,-0.01,13.6,1,0.36,0,0,2,0.61,0,0,3,0.45,0,0.25,4,0.67,0,13.2,63.209999,-527.72998,63.950001,-531.390015,0,-540,19.07,-537.450012
1,0.35,-0.01,0.28,2,0.63,0.01,-0.54,3,0.42,-0.01,0.8,4,0.65,-0.01,13.52,1,0.36,0,0,2,0.61,0,0,3,0.45,0,0.25,4,0.67,0,13.17,63.209999,-527.72998,63.950001,-531.390015,0,-540,19.280001,-537.440002
1,0.35,0.02,0.27,2,0.63,0.02,-0.53,3,0.42,-0.04,0.88,4,0.65,0.02,13.5,1,0.45,0.16,0,2,0.61,0,0,3,0.45,0,0.25,4,0.67,0,13.17,0.4,-539.460022,63.950001,-531.390015,0,-540,19.59,-537.47998
1,0.35,-0.02,0.29,2,0.63,0.02,-0.55,3,0.42,-0.03,0.81,4,0.65,0.03,13.48,1,0.46,0.38,0,2,0.66,-0.39,0,3,0.45,0,0.25,4,0.67,0,13.18,1.36,-537.200012,63.950001,-531.390015,0,-540,19.690001,-537.530029
1,0.35,0.11,3.02,2,0.63,-0.02,0.42,3,0.42,0.02,0.83,4,0.65,0.01,13.49,1,0.46,0.38,0,2,0.65,-0.86,0,3,0.45,0,0.26,4,0.67,0,13.17,-5,-537.179993,61.599998,-531.51001,0,-540,19.48,-537.530029
1,0.36,0.21,3.27,2,0.63,-0.19,-0.43,3,0.42,0.01,0.81,4,0.65,0.01,13.45,1,0.47,0.57,0,2,0.62,-1.24,0,3,0.45,0,0.26,4,0.67,0,13.17,-6.71,-533.640015,59.380001,-530.880005,0,-540,19.48,-537.530029
1,0.37,0.37,3.22,2,0.61,-0.39,-0.96,3,0.42,-0.02,0.83,4,0.65,0.01,13.48,1,0.49,0.73,0,2,0.59,-1.54,0,3,0.45,0,0.25,4,0.67,0,13.17,2.51,-528.849976,56.259998,-529.47998,0,-540,19.48,-537.530029
1,0.39,0.53,3.03,2,0.59,-0.52,-0.49,3,0.42,-0.03,0.83,4,0.65,0.01,13.52,1,0.51,0.85,0,2,0.55,-1.75,0,3,0.45,0,0.25,4,0.67,0,13.17,2.8,-522.909973,50.25,-527.460022,0,-540,19.690001,-537.530029
1,0.42,0.71,2.8,2,0.57,-0.66,-0.9,3,0.42,0.01,0.83,4,0.65,-0.01,13.48,1,0.53,0.93,0,2,0.5,-1.88,0,3,0.45,0,0.26,4,0.67,0,13.17,2.96,-516.200012,43.189999,-524.210022,0,-540,19.48,-537.530029
1,0.45,0.72,1.96,2,0.53,-0.77,-1.31,3,0.42,0.01,0.81,4,0.65,0.02,13.49,1,0.55,0.96,0,2,0.45,-1.93,0,3,0.45,0,0.26,4,0.67,0,13.17,3.09,-508.859985,34.869999,-520.130005,0,-540,19.690001,-537.530029
1,0.49,0.8,1.6,2,0.5,-0.82,-1.74,3,0.42,0.01,0.83,4,0.65,0.01,13.49,1,0.58,0.96,0,2,0.41,-1.9,0,3,0.45,0,0.25,4,0.67,0,13.17,1.98,-501.119995,25.67,-515.359985,0,-540,19.690001,-537.530029
1,0.52,0.87,1.2,2,0.46,-0.89,-2.02,3,0.42,-0.02,0.83,4,0.65,-0.03,13.49,1,0.6,0.92,0,2,0.41,-1.9,0,3,0.45,0,0.26,4,0.67,0,13.17,1.88,-493.350006,16.629999,-509.799988,0,-540,19.690001,-537.530029
1,0.56,0.88,0.74,2,0.42,-0.94,-2.22,3,0.42,0.03,0.84,4,0.65,0.01,13.49,1,0.6,0.92,0,2,0.36,-1.81,0,3,0.45,0,0.26,4,0.67,0,13.17,-8.95,-493.269989,7.39,-503.519989,0,-540,19.690001,-537.530029
1,0.6,0.89,0.28,2,0.38,-0.85,-2.39,3,0.42,-0.01,0.84,4,0.65,-0.02,13.5,1,0.62,0.85,0,2,0.32,-1.67,0,3,0.45,0,0.26,4,0.67,0,13.17,-8,-485.769989,-1.9,-497.070007,0,-540,19.690001,-537.530029
1,0.63,0.78,0.07,2,0.35,-0.78,-2.42,3,0.42,0.02,0.85,4,0.65,-0.01,13.48,1,0.64,0.76,0,2,0.27,-1.46,0,3,0.45,0,0.26,4,0.67,0,13.17,2.21,-478.299988,-10.4,-490.790009,0,-540,19.690001,-537.530029
1,0.66,0.54,-0.07,2,0.32,-0.61,-1.82,3,0.42,-0.01,0.84,4,0.65,0.01,13.46,1,0.66,0.64,0,2,0.24,-1.22,0,3,0.45,0,0.26,4,0.67,0,13.17,1.81,-472.25,-17.32,-485.399994,0,-540,19.690001,-537.530029
1,0.69,0.46,-0.45,2,0.29,-0.45,-2.47,3,0.42,0.02,0.86,4,0.65,0.03,13.42,1,0.68,0.51,0,2,0.21,-0.95,0,3,0.45,0,0.26,4,0.67,0,13.17,1.46,-467.190002,-22.59,-480.920013,0,-540,19.59,-537.580017
1,0.7,0.2,-0.52,2,0.28,-0.33,-2.63,3,0.42,0.01,0.85,4,0.65,0.03,13.44,1,0.69,0.37,0,2,0.19,-0.66,0,3,0.45,0,0.26,4,0.67,0,13.17,0.99,-463.369995,-25.83,-477.929993,0,-540,19.690001,-537.630005
1,0.71,0.1,-0.29,2,0.26,-0.26,-2.84,3,0.42,0.01,0.87,4,0.65,0.03,13.45,1,0.69,0.22,0,2,0.18,-0.36,0,3,0.45,0,0.26,4,0.67,0,13.16,0.56,-460.959991,-26.440001,-475.820007,0,-540,19.799999,-537.679993
1,0.71,-0.01,-0.13,2,0.26,-0.13,-2.83,3,0.42,0.02,0.85,4,0.65,0.01,13.45,1,0.7,0.05,0,2,0.18,-0.36,0,3,0.45,0,0.26,4,0.67,0,13.16,0.07,-460.01001,-24.92,-474.5,0,-540,19.799999,-537.679993
1,0.71,-0.03,-0.07,2,0.25,-0.11,-2.57,3,0.42,0.01,0.85,4,0.65,0.02,13.45,1,0.7,0.05,0,2,0.18,-0.04,0,3,0.45,0,0.26,4,0.67,0,13.15,0.42,-460.01001,-23.879999,-473.790009,0,-540,19.799999,-537.679993
1,0.71,-0.07,-0.17,2,0.25,0.01,-2.36,3,0.42,0.02,0.85,4,0.65,0.02,13.45,1,0.7,-0.11,0,2,0.18,0.27,0,3,0.45,0,0.26,4,0.67,0,13.15,1.93,-460.559998,-22.790001,-473.700012,0,-540,19.59,-537.679993
1,0.71,-0.04,-0.42,2,0.25,0.02,-1.77,3,0.42,-0.02,0.86,4,0.65,0.01,13.46,1,0.69,-0.27,0,2,0.19,0.61,0,3,0.45,0,0.26,4,0.67,0,13.15,-0.81,-462.839996,-21.889999,-473.880005,0,-540,19.59,-537.679993
1,0.7,-0.04,-0.75,2,0.25,0.01,-1.75,3,0.42,0.03,0.8,4,0.65,0.01,13.44,1,0.68,-0.42,0,2,0.21,0.9,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.25,-466.380005,-21.17,-473.920013,0,-540,19.59,-537.679993
1,0.7,-0.09,-1.05,2,0.26,0.11,-1.24,3,0.42,0.01,0.88,4,0.65,0.02,13.45,1,0.67,-0.55,0,2,0.24,1.17,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.65,-471.179993,-20.469999,-474.51001,0,-540,19.799999,-537.679993
1,0.69,-0.15,-0.76,2,0.26,0.15,-0.43,3,0.42,0.01,0.82,4,0.65,0.01,13.45,1,0.66,-0.68,0,2,0.27,1.41,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.02,-477.029999,-19.34,-475.73999,0,-540,19.799999,-537.679993
1,0.68,-0.35,-0.72,2,0.27,0.3,0.28,3,0.42,0.01,0.85,4,0.65,-0.01,13.43,1,0.64,-0.79,0,2,0.3,1.62,0,3,0.45,0,0.26,4,0.67,0,13.15,-2.42,-483.769989,-16.870001,-477.920013,0,-540,19.799999,-537.679993
1,0.67,-0.52,-0.58,2,0.29,0.46,0.63,3,0.42,0.02,0.86,4,0.65,-0.03,13.45,1,0.62,-0.88,0,2,0.3,1.62,0,3,0.45,0,0.26,4,0.67,0,13.15,-1.79,-491.119995,-13.87,-481.179993,0,-540,20,-537.669983
1,0.64,-0.64,-0.42,2,0.32,0.66,1.08,3,0.42,0.01,0.85,4,0.65,0.01,13.44,1,0.62,-0.88,0,2,0.35,1.78,0,3,0.45,0,0.26,4,0.67,0,13.15,9.36,-491.040009,-7.98,-485.980011,0,-540,19.9,-537.719971
