1 -0.324 -0.176 1.024	2 0.009 -0.006 -0.277
1 -0.327 -0.108 0.602	2 0.009 0.040 0.743
1 -0.331 -0.165 0.848	2 0.016 0.414 0.866
1 -0.336 -0.176 0.831	2 0.030 0.482 0.004
1 -0.340 -0.119 1.156	2 0.041 0.346 -0.488
1 -0.343 -0.062 0.866	2 0.047 0.153 -0.321
1 -0.344 -0.051 0.681	2 0.052 0.267 0.400
1 -0.346 -0.040 0.400	2 0.060 0.323 0.180
1 -0.347 -0.096 0.435	2 0.070 0.255 0.163
1 -0.349 -0.051 0.259	2 0.079 0.267 -0.277
1 -0.351 -0.085 0.347	2 0.086 0.267 0.127
1 -0.352 -0.074 0.391	2 0.095 0.255 -0.136
1 -0.354 -0.017 0.523	2 0.102 0.187 0.242
1 -0.355 -0.017 0.497	2 0.109 0.244 0.277
1 -0.356 -0.028 0.637	2 0.117 0.301 0.365
1 -0.356 -0.062 0.804	2 0.128 0.358 -0.180
1 -0.357 -0.017 0.831	2 0.135 0.176 -0.040
1 -0.356 0.017 0.866	2 0.140 0.142 0.251
1 -0.356 -0.017 0.998	2 0.146 0.244 0.760
1 -0.356 0.006 1.411	2 0.156 0.392 -0.013
1 -0.356 0.006 1.587	2 0.165 0.244 -0.066
1 -0.354 0.119 1.552	2 0.170 0.108 -0.022
1 -0.351 0.131 1.226	2 0.174 0.153 0.708
1 -0.347 0.131 1.358	2 0.179 0.233 0.488
1 -0.345 0.051 1.226	2 0.189 0.392 0.092
1 -0.342 0.085 1.358	2 0.198 0.221 -0.470
1 -0.337 0.176 1.077	2 0.201 0.028 0.163
1 -0.333 0.142 1.226	2 0.203 0.074 0.523
1 -0.330 0.131 1.103	2 0.208 0.244 0.549
1 -0.326 0.142 1.613	2 0.216 0.221 0.013
1 -0.323 0.176 1.596	2 0.223 0.199 -0.215
1 -0.318 0.199 1.851	2 0.225 0.062 -0.127
1 -0.311 0.176 1.455	2 0.226 0.062 0.426
1 -0.305 0.176 1.613	2 0.229 0.040 0.523
1 -0.299 0.176 1.218	2 0.232 0.131 0.549
1 -0.292 0.244 1.560	2 0.236 0.131 0.295
1 -0.286 0.221 1.262	2 0.239 0.085 0.180
1 -0.279 0.233 1.631	2 0.242 0.040 0.136
1 -0.272 0.199 1.226	2 0.242 0.006 0.435
1 -0.265 0.221 1.640	2 0.243 0.062 0.435
1 -0.258 0.199 1.420	2 0.246 0.165 0.048
1 -0.252 0.233 1.815	2 0.249 0.062 -0.224
1 -0.244 0.255 1.560	2 0.249 0.006 -0.119
1 -0.236 0.323 1.763	2 0.249 0.006 -0.136
1 -0.228 0.233 1.455	2 0.249 -0.006 -0.189
1 -0.220 0.278 1.780	2 0.249 -0.028 -0.251
1 -0.212 0.233 1.437	2 0.249 -0.017 -0.435
1 -0.204 0.301 1.719	2 0.248 -0.017 -0.611
1 -0.196 0.255 1.446	2 0.247 -0.085 -0.664
1 -0.188 0.255 1.912	2 0.246 -0.028 -0.787
1 -0.180 0.267 1.692	2 0.246 -0.051 -1.262
1 -0.172 0.301 1.780	2 0.245 -0.096 -1.341
1 -0.163 0.312 1.516	2 0.240 -0.255 -1.095
1 -0.154 0.301 1.684	2 0.234 -0.233 -0.400
1 -0.145 0.267 1.244	2 0.229 -0.142 -0.251
1 -0.138 0.244 1.622	2 0.227 -0.062 -0.453
1 -0.131 0.210 1.534	2 0.226 -0.017 -1.165
1 -0.125 0.233 2.141	2 0.224 -0.187 -1.218
1 -0.118 0.278 1.833	2 0.218 -0.233 -1.165
1 -0.110 0.289 2.141	2 0.210 -0.267 -0.444
1 -0.102 0.244 1.736	2 0.205 -0.131 -0.462
1 -0.096 0.233 1.842	2 0.202 -0.119 -0.690
1 -0.089 0.176 1.710	2 0.198 -0.096 -0.031
1 -0.083 0.244 1.991	2 0.193 -0.255 -0.989
1 -0.075 0.210 1.587	2 0.186 -0.221 -1.095
1 -0.068 0.244 1.613	2 0.179 -0.199 -0.752
1 -0.063 0.176 1.385	2 0.173 -0.199 -0.840
1 -0.059 0.142 1.895	2 0.167 -0.210 -0.708
1 -0.054 0.108 1.771	2 0.160 -0.210 -0.866
1 -0.049 0.165 1.974	2 0.153 -0.233 -0.655
1 -0.045 0.142 1.815	2 0.146 -0.187 -0.831
1 -0.042 0.108 2.018	2 0.141 -0.210 -0.787
1 -0.038 0.176 1.842	2 0.134 -0.244 -1.095
1 -0.035 0.085 2.035	2 0.124 -0.369 -0.523
1 -0.032 0.062 1.974	2 0.116 -0.255 -0.593
1 -0.030 0.085 2.000	2 0.110 -0.233 -0.629
1 -0.028 0.096 1.903	2 0.104 -0.221 -1.042
1 -0.026 0.051 2.000	2 0.096 -0.346 -0.866
1 -0.024 0.017 1.807	2 0.086 -0.301 -0.884
1 -0.023 0.017 1.745	2 0.078 -0.289 -0.629
1 -0.023 -0.006 1.771	2 0.072 -0.221 -0.796
1 -0.023 -0.006 1.736	2 0.064 -0.289 -0.813
1 -0.023 -0.006 1.648	2 0.056 -0.289 -1.024
1 -0.023 -0.028 1.543	2 0.047 -0.244 -0.690
1 -0.024 -0.017 1.429	2 0.041 -0.267 -0.945
1 -0.025 -0.051 1.156	2 0.033 -0.323 -0.725
1 -0.026 -0.074 1.051	2 0.025 -0.267 -0.945
1 -0.028 -0.062 0.831	2 0.017 -0.199 -0.831
1 -0.031 -0.074 0.945	2 0.011 -0.210 -1.103
1 -0.035 -0.153 0.857	2 0.004 -0.289 -0.919
1 -0.039 -0.153 1.138	2 -0.004 -0.289 -1.024
1 -0.044 -0.210 1.103	2 -0.013 -0.278 -0.681
1 -0.050 -0.187 1.473	2 -0.019 -0.187 -0.840
1 -0.055 -0.210 1.367	2 -0.024 -0.187 -0.804
1 -0.060 -0.187 1.552	2 -0.030 -0.187 -1.095
1 -0.065 -0.233 1.112	2 -0.036 -0.278 -0.875
1 -0.069 -0.165 1.156	2 -0.044 -0.289 -0.804
1 -0.075 -0.199 0.760	2 -0.049 -0.108 -0.760
1 -0.082 -0.244 1.130	2 -0.051 -0.051 -1.376
1 -0.089 -0.267 0.980	2 -0.054 -0.142 -1.569
1 -0.096 -0.199 1.288	2 -0.061 -0.312 -1.015
1 -0.103 -0.278 0.980	2 -0.070 -0.301 -0.426
1 -0.110 -0.278 1.349	2 -0.075 -0.131 -0.391
1 -0.118 -0.335 1.077	2 -0.076 -0.051 -0.462
1 -0.126 -0.255 1.464	2 -0.076 -0.028 -0.971
1 -0.133 -0.278 1.007	2 -0.078 -0.085 -1.174
1 -0.140 -0.221 1.200	2 -0.079 -0.028 -1.446
1 -0.147 -0.267 0.699	2 -0.081 -0.119 -1.314
1 -0.154 -0.221 1.015	2 -0.084 -0.074 -1.077
1 -0.162 -0.267 0.655	2 -0.086 -0.040 -0.980
1 -0.170 -0.335 1.095	2 -0.086 0.028 -1.086
1 -0.179 -0.335 0.919	2 -0.086 -0.006 -1.059
1 -0.187 -0.233 1.341	2 -0.086 0.017 -0.989
1 -0.196 -0.312 1.095	2 -0.086 -0.006 -0.866
1 -0.203 -0.267 1.358	2 -0.085 0.028 -0.664
1 -0.210 -0.278 0.892	2 -0.085 0.006 -0.470
1 -0.216 -0.221 0.980	2 -0.084 0.074 -0.277
1 -0.223 -0.221 0.505	2 -0.082 0.074 -0.374
1 -0.230 -0.255 0.760	2 -0.081 0.062 0.277
1 -0.238 -0.323 0.532	2 -0.077 0.221 -0.022
1 -0.246 -0.244 0.989	2 -0.072 0.187 -0.154
1 -0.253 -0.255 0.866	2 -0.068 0.028 -0.101
1 -0.260 -0.233 1.218	2 -0.067 0.062 0.479
1 -0.267 -0.255 0.848	2 -0.062 0.176 0.330
1 -0.274 -0.244 1.191	2 -0.055 0.233 0.145
1 -0.280 -0.221 0.866	2 -0.048 0.210 -0.295
1 -0.286 -0.187 1.024	2 -0.041 0.165 -0.259
1 -0.290 -0.153 0.444	2 -0.038 0.085 -0.031
1 -0.295 -0.142 0.470	2 -0.035 0.119 0.743
1 -0.300 -0.233 0.268	2 -0.028 0.289 0.470
1 -0.306 -0.267 0.673	2 -0.017 0.414 0.400
1 -0.314 -0.244 0.286	2 -0.003 0.437 -0.488
1 -0.321 -0.233 1.033	2 0.006 0.165 -0.620
1 -0.326 -0.165 0.963	2 0.008 0.085 -0.066
1 -0.330 -0.142 1.007	2 0.011 0.176 1.103
1 -0.334 -0.119 0.796	2 0.022 0.448 0.295
1 -0.338 -0.165 1.191	2 0.033 0.335 -0.048
1 -0.340 -0.096 0.857	2 0.043 0.199 -0.558
1 -0.342 -0.074 0.708	2 0.047 0.142 0.321
1 -0.344 -0.051 0.321	2 0.055 0.346 0.145
1 -0.346 -0.085 0.409	2 0.065 0.380 0.092
1 -0.349 -0.119 0.400	2 0.074 0.289 -0.382
1 -0.350 -0.131 0.497	2 0.080 0.199 0.215
1 -0.352 -0.074 0.426	2 0.088 0.301 0.145
1 -0.354 -0.040 0.646	2 0.097 0.312 0.145
1 -0.355 -0.017 0.655	2 0.105 0.244 -0.163
1 -0.355 0.006 0.505	2 0.112 0.233 0.303
1 -0.355 -0.017 0.479	2 0.120 0.289 0.075
1 -0.355 0.006 0.514	2 0.130 0.278 0.066
1 -0.355 0.017 0.514	2 0.138 0.244 -0.163
1 -0.355 0.006 0.514	2 0.142 0.165 0.418
1 -0.354 0.006 0.787	2 0.150 0.312 0.198
1 -0.355 -0.028 1.051	2 0.159 0.289 0.154
1 -0.354 0.040 1.323	2 0.167 0.221 -0.171
1 -0.352 0.085 1.218	2 0.171 0.119 0.365
1 -0.350 0.062 1.464	2 0.176 0.176 0.400
1 -0.348 0.040 1.446	2 0.183 0.278 0.462
1 -0.345 0.062 1.587	2 0.192 0.267 -0.154
1 -0.342 0.131 1.376	2 0.198 0.085 0.022
1 -0.337 0.199 1.402	2 0.201 0.062 0.338
1 -0.332 0.142 1.147	2 0.204 0.176 0.681
1 -0.328 0.142 1.367	2 0.212 0.221 0.224
1 -0.325 0.085 1.446	2 0.218 0.176 -0.013
1 -0.320 0.176 1.745	2 0.223 0.074 -0.198
1 -0.314 0.199 1.358	2 0.225 0.040 0.224
1 -0.309 0.233 1.499	2 0.228 0.142 0.286
1 -0.303 0.199 1.332	2 0.230 0.074 0.532
1 -0.297 0.210 1.666	2 0.234 0.108 0.400
1 -0.291 0.131 1.429	2 0.237 0.085 0.418
1 -0.284 0.221 1.640	2 0.239 0.051 0.268
1 -0.277 0.210 1.332	2 0.242 0.040 0.242
1 -0.270 0.278 1.578	2 0.244 0.074 0.136
1 -0.263 0.244 1.191	2 0.246 0.108 -0.057
1 -0.256 0.267 1.508	2 0.247 -0.006 -0.057
1 -0.248 0.244 1.429	2 0.247 -0.028 0.092
1 -0.241 0.267 1.745	2 0.247 -0.017 0.154
1 -0.233 0.187 1.455	2 0.247 0.017 0.154
1 -0.226 0.289 1.807	2 0.247 -0.006 0.092
1 -0.218 0.233 1.631	2 0.247 -0.006 -0.066
1 -0.210 0.278 1.921	2 0.247 0.006 -0.154
1 -0.202 0.301 1.640	2 0.247 -0.006 -0.418
1 -0.193 0.289 1.833	2 0.247 -0.028 -0.629
1 -0.184 0.312 1.367	2 0.246 -0.006 -1.007
1 -0.176 0.301 1.798	2 0.245 -0.017 -1.270
1 -0.168 0.233 1.367	2 0.244 -0.131 -1.367
1 -0.159 0.312 1.543	2 0.238 -0.244 -0.708
1 -0.151 0.278 1.235	2 0.232 -0.187 -0.347
1 -0.143 0.221 1.798	2 0.228 -0.085 -0.198
1 -0.137 0.176 1.587	2 0.227 -0.006 -0.743
1 -0.131 0.210 2.220	2 0.226 -0.051 -1.147
1 -0.124 0.221 2.009	2 0.223 -0.187 -1.411
1 -0.116 0.301 2.193	2 0.215 -0.255 -0.725
1 -0.107 0.301 1.675	2 0.208 -0.221 -0.409
1 -0.099 0.255 1.824	2 0.204 -0.085 -0.462
1 -0.092 0.199 1.525	2 0.201 -0.153 -1.068
1 -0.086 0.221 1.851	2 0.197 -0.142 -0.505
1 -0.079 0.255 1.473	2 0.191 -0.233 -1.068
1 -0.073 0.221 1.684	2 0.184 -0.278 -0.796
1 -0.067 0.199 1.490	2 0.177 -0.244 -0.716
1 -0.062 0.187 1.851	2 0.170 -0.244 -0.470
1 -0.058 0.131 1.895	2 0.164 -0.210 -0.690
1 -0.054 0.165 2.220	2 0.157 -0.289 -0.549
1 -0.048 0.176 1.930	2 0.150 -0.210 -0.743
1 -0.044 0.176 1.991	2 0.145 -0.187 -0.760
1 -0.040 0.085 1.719	2 0.139 -0.221 -1.095
1 -0.036 0.131 1.798	2 0.131 -0.358 -0.681
1 -0.033 0.131 1.675	2 0.122 -0.267 -0.778
1 -0.031 0.040 1.895	2 0.114 -0.221 -0.567
1 -0.029 0.017 1.956	2 0.108 -0.187 -0.936
1 -0.027 0.051 2.044	2 0.101 -0.278 -0.840
1 -0.026 0.040 1.965	2 0.093 -0.369 -0.866
1 -0.024 0.040 1.886	2 0.083 -0.289 -0.602
1 -0.023 0.028 1.842	2 0.076 -0.210 -0.822
1 -0.023 -0.017 1.895	2 0.070 -0.210 -0.804
1 -0.023 -0.017 1.833	2 0.062 -0.312 -1.077
1 -0.023 -0.006 1.736	2 0.052 -0.335 -0.646
1 -0.024 -0.006 1.666	2 0.045 -0.210 -0.910
1 -0.025 -0.040 1.367	2 0.038 -0.244 -0.629
1 -0.025 -0.006 1.086	2 0.030 -0.267 -0.936
1 -0.026 -0.074 0.822	2 0.022 -0.267 -0.769
1 -0.028 -0.108 0.848	2 0.015 -0.233 -1.103
1 -0.031 -0.142 0.734	2 0.009 -0.244 -0.927
1 -0.036 -0.119 0.954	2 0.002 -0.267 -1.165
1 -0.041 -0.187 0.927	2 -0.007 -0.335 -0.778
1 -0.046 -0.187 1.420	2 -0.015 -0.221 -0.919
1 -0.051 -0.221 1.305	2 -0.020 -0.199 -0.840
1 -0.057 -0.119 1.578	2 -0.026 -0.221 -1.068
1 -0.062 -0.142 1.174	2 -0.032 -0.233 -0.919
1 -0.067 -0.187 1.332	2 -0.039 -0.278 -0.866
1 -0.071 -0.199 0.840	2 -0.046 -0.187 -0.743
1 -0.077 -0.221 1.112	2 -0.049 -0.096 -1.059
1 -0.084 -0.255 0.945	2 -0.052 -0.119 -1.349
1 -0.091 -0.233 1.332	2 -0.056 -0.221 -1.393
1 -0.098 -0.267 0.963	2 -0.065 -0.312 -0.760
1 -0.105 -0.255 1.358	2 -0.072 -0.187 -0.523
1 -0.113 -0.312 1.042	2 -0.075 -0.108 -0.470
1 -0.121 -0.244 1.429	2 -0.076 -0.006 -0.796
1 -0.128 -0.244 1.024	2 -0.076 -0.085 -1.112
1 -0.134 -0.187 1.182	2 -0.079 -0.096 -1.218
1 -0.141 -0.233 0.690	2 -0.081 -0.096 -1.095
1 -0.149 -0.233 0.954	2 -0.084 -0.074 -1.042
1 -0.157 -0.346 0.778	2 -0.084 0.040 -1.191
1 -0.165 -0.267 1.174	2 -0.084 -0.028 -1.332
1 -0.174 -0.267 0.901	2 -0.084 0.017 -1.367
1 -0.182 -0.267 1.411	2 -0.084 -0.051 -1.332
1 -0.190 -0.289 1.165	2 -0.084 0.006 -1.314
1 -0.198 -0.210 1.385	2 -0.084 -0.006 -1.095
1 -0.205 -0.255 0.840	2 -0.084 0.006 -0.945
1 -0.212 -0.233 1.007	2 -0.083 0.051 -0.664
1 -0.218 -0.221 0.426	2 -0.083 0.006 -0.356
1 -0.225 -0.255 0.725	2 -0.083 -0.006 -0.673
1 -0.232 -0.255 0.356	2 -0.081 0.062 0.382
