1 0 1 -0.554 -0.571 0.017 3.266	2 0.742 0.720 -0.006 4.101	3 0.554 0.548 -0.006 1.059	4 -0.742 -0.704 -0.017 -7.275
2 0 1 -0.554 -0.571 0.017 3.248	2 0.742 0.720 0.006 4.127	3 0.554 0.548 -0.006 1.059	4 -0.742 -0.704 0.028 -7.284
3 0 1 -0.554 -0.571 0.017 3.248	2 0.742 0.720 -0.017 4.092	3 0.554 0.548 -0.028 1.086	4 -0.742 -0.704 0.006 -7.266
3 0 1 -0.554 -0.571 -0.006 3.266	2 0.742 0.720 -0.017 4.110	3 0.554 0.548 -0.040 1.007	4 -0.742 -0.704 -0.006 -7.266
4 0 1 -0.554 -0.571 -0.006 3.327	2 0.742 0.720 0.006 4.092	3 0.554 0.548 -0.006 1.007	4 -0.742 -0.704 -0.017 -7.266
5 0 1 -0.554 -0.571 -0.006 3.327	2 0.742 0.720 0.017 4.084	3 0.554 0.548 0.006 0.998	4 -0.741 -0.704 -0.006 -7.257
6 0 1 -0.554 -0.571 -0.017 3.336	2 0.741 0.720 0.040 4.004	3 0.554 0.548 0.006 0.998	4 -0.741 -0.704 0.017 -7.196
6 0 1 -0.554 -0.571 -0.006 3.310	2 0.741 0.720 0.006 4.031	3 0.553 0.548 -0.006 0.963	4 -0.741 -0.704 -0.006 -7.187
7 0 1 -0.553 -0.571 0.017 3.389	2 0.741 0.720 0.017 4.022	3 0.553 0.548 0.006 0.919	4 -0.741 -0.704 0.017 -7.116
8 0 1 -0.553 -0.571 0.017 3.477	2 0.741 0.720 -0.017 3.960	3 0.553 0.548 -0.017 0.884	4 -0.741 -0.704 -0.006 -7.116
9 0 1 -0.552 -0.571 0.017 3.582	2 0.741 0.720 0.006 3.881	3 0.552 0.548 -0.006 0.743	4 -0.741 -0.704 -0.006 -7.046
9 0 1 -0.552 -0.571 -0.017 3.609	2 0.740 0.720 0.006 3.846	3 0.552 0.548 -0.006 0.629	4 -0.740 -0.704 -0.006 -6.976
10 0 1 -0.552 -0.571 -0.017 3.749	2 0.740 0.720 -0.006 3.811	3 0.551 0.548 0.017 0.558	4 -0.740 -0.704 0.017 -6.914
11 0 1 -0.551 -0.571 0.006 3.864	2 0.740 0.720 -0.006 3.741	3 0.551 0.548 0.028 0.462	4 -0.739 -0.704 -0.028 -6.897
12 0 1 -0.550 -0.571 -0.006 4.031	2 0.739 0.720 -0.028 3.626	3 0.550 0.548 -0.017 0.295	4 -0.739 -0.704 0.028 -6.791
12 0 1 -0.550 -0.571 0.006 4.110	2 0.738 0.720 -0.028 3.547	3 0.548 0.548 -0.040 0.127	4 -0.738 -0.704 -0.006 -6.651
13 0 1 -0.548 -0.571 0.006 4.286	2 0.738 0.720 -0.040 3.503	3 0.547 0.548 0.006 -0.004	4 -0.738 -0.704 0.006 -6.536
14 0 1 -0.547 -0.571 -0.006 4.558	2 0.738 0.720 0.017 3.380	3 0.547 0.547 0.006 -0.110	4 -0.737 -0.704 0.006 -6.519
15 0 1 -0.545 -0.571 0.028 4.725	2 0.737 0.720 -0.017 3.213	3 0.545 0.547 -0.017 -0.303	4 -0.737 -0.703 0.028 -6.316
15 0 1 -0.545 -0.571 -0.017 4.822	2 0.735 0.720 -0.017 3.099	3 0.543 0.545 -0.085 -0.321	4 -0.735 -0.703 0.040 -6.220
16 0 1 -0.543 -0.570 0.028 5.112	2 0.735 0.719 -0.017 3.020	3 0.541 0.545 0.017 -0.549	4 -0.734 -0.703 -0.017 -6.018
17 0 1 -0.541 -0.570 -0.006 5.534	2 0.734 0.719 0.028 2.835	3 0.541 0.545 -0.028 -0.752	4 -0.733 -0.702 0.017 -6.035
18 0 1 -0.539 -0.570 -0.006 5.868	2 0.733 0.719 -0.040 2.695	3 0.539 0.545 -0.017 -1.191	4 -0.733 -0.702 0.006 -5.868
