1 -0.147 -0.062 1.429	2 -0.285 -0.017 -1.297
1 -0.147 -0.017 0.910	2 -0.287 -0.085 -1.174
1 -0.148 -0.040 0.804	2 -0.291 -0.153 -0.690
1 -0.149 -0.062 0.822	2 -0.292 0.006 -0.629
1 -0.150 -0.062 1.042	2 -0.292 -0.028 -0.681
1 -0.151 0.017 1.095	2 -0.292 0.017 -0.646
1 -0.150 0.006 0.971	2 -0.291 0.017 -0.576
1 -0.150 0.006 0.752	2 -0.291 0.028 -0.462
1 -0.150 -0.028 0.629	2 -0.291 -0.006 -0.171
1 -0.150 -0.040 0.444	2 -0.291 -0.051 -0.031
1 -0.151 -0.051 0.400	2 -0.289 0.131 0.813
1 -0.154 -0.153 0.321	2 -0.280 0.380 0.268
1 -0.158 -0.153 0.602	2 -0.267 0.369 -0.514
1 -0.163 -0.153 0.488	2 -0.259 0.233 -0.488
1 -0.168 -0.199 0.681	2 -0.253 0.199 0.180
1 -0.174 -0.255 0.488	2 -0.244 0.460 0.593
1 -0.181 -0.301 0.866	2 -0.228 0.550 0.303
1 -0.190 -0.323 0.673	2 -0.210 0.596 -0.119
1 -0.198 -0.244 1.033	2 -0.193 0.460 -0.576
1 -0.205 -0.244 0.409	2 -0.180 0.471 -0.040
1 -0.213 -0.267 0.400	2 -0.165 0.516 0.268
1 -0.221 -0.301 -0.048	2 -0.148 0.664 0.163
1 -0.232 -0.380 0.321	2 -0.127 0.709 -0.242
1 -0.243 -0.369 0.127	2 -0.109 0.607 -0.690
1 -0.254 -0.414 0.769	2 -0.094 0.346 -0.462
1 -0.264 -0.369 0.505	2 -0.084 0.403 0.268
1 -0.275 -0.380 1.244	2 -0.071 0.482 0.338
1 -0.285 -0.369 1.174	2 -0.056 0.539 -0.022
1 -0.294 -0.278 1.736	2 -0.042 0.380 -0.541
1 -0.299 -0.176 1.270	2 -0.034 0.187 -0.268
1 -0.303 -0.131 1.165	2 -0.030 0.142 0.259
1 -0.305 -0.051 0.699	2 -0.024 0.278 0.268
1 -0.309 -0.096 0.787	2 -0.017 0.233 -0.171
1 -0.311 -0.017 0.690	2 -0.010 0.153 -0.664
1 -0.313 -0.028 0.848	2 -0.009 -0.040 -0.541
1 -0.313 -0.028 0.725	2 -0.010 -0.028 -0.295
1 -0.313 -0.006 0.699	2 -0.010 0.017 -0.286
1 -0.313 0.006 0.593	2 -0.010 0.006 -0.251
1 -0.313 -0.017 0.602	2 -0.009 -0.006 -0.295
1 -0.313 -0.006 0.699	2 -0.009 -0.006 -0.295
1 -0.313 -0.028 0.840	2 -0.009 0.006 -0.207
1 -0.313 0.028 1.112	2 -0.009 0.040 -0.101
1 -0.312 0.006 1.446	2 -0.008 0.040 -0.040
1 -0.311 0.062 2.053	2 -0.006 0.096 0.127
1 -0.309 0.096 2.246	2 -0.004 0.051 0.330
1 -0.304 0.176 2.791	2 -0.002 0.108 0.646
1 -0.297 0.267 2.756	2 0.002 0.176 0.778
1 -0.288 0.358 3.064	2 0.010 0.312 0.497
1 -0.276 0.437 2.475	2 0.019 0.278 0.119
1 -0.263 0.494 2.536	2 0.027 0.233 0.251
1 -0.249 0.516 1.780	2 0.034 0.358 0.224
1 -0.233 0.562 2.097	2 0.045 0.335 0.189
1 -0.217 0.528 1.349	2 0.056 0.369 -0.013
1 -0.202 0.562 1.631	2 0.068 0.403 0.022
1 -0.186 0.539 0.945	2 0.078 0.301 0.022
1 -0.172 0.460 1.763	2 0.089 0.414 0.242
1 -0.158 0.448 1.226	2 0.101 0.369 0.048
1 -0.145 0.471 1.807	2 0.113 0.392 0.022
1 -0.132 0.426 1.244	2 0.125 0.358 -0.048
1 -0.120 0.403 1.604	2 0.135 0.323 -0.004
1 -0.108 0.358 1.068	2 0.143 0.244 -0.022
1 -0.098 0.358 1.191	2 0.152 0.289 0.031
1 -0.090 0.267 0.831	2 0.160 0.244 -0.215
1 -0.084 0.165 1.147	2 0.166 0.176 -0.163
1 -0.078 0.153 0.945	2 0.170 0.051 -0.004
1 -0.075 0.131 1.174	2 0.172 0.085 0.277
1 -0.073 0.017 1.314	2 0.175 0.131 0.224
1 -0.073 -0.028 1.666	2 0.177 0.085 0.163
1 -0.073 0.017 1.754	2 0.178 -0.006 0.198
1 -0.073 0.017 1.798	2 0.178 0.017 0.295
1 -0.072 0.017 1.736	2 0.178 0.006 0.330
1 -0.072 0.017 1.710	2 0.178 0.006 0.321
1 -0.072 -0.006 1.789	2 0.178 -0.006 0.312
1 -0.072 -0.006 1.886	2 0.178 -0.006 0.215
1 -0.072 -0.017 2.026	2 0.178 0.006 -0.004
1 -0.072 0.028 2.475	2 0.177 -0.040 -0.312
1 -0.071 0.028 2.686	2 0.176 -0.062 -0.681
1 -0.068 0.119 3.213	2 0.172 -0.199 -0.699
1 -0.063 0.176 3.046	2 0.165 -0.210 0.207
1 -0.057 0.244 3.415	2 0.160 -0.221 -0.804
1 -0.048 0.346 2.782	2 0.152 -0.312 -0.945
1 -0.037 0.414 2.835	2 0.141 -0.403 -0.760
1 -0.024 0.437 2.141	2 0.129 -0.426 -0.567
1 -0.011 0.448 2.457	2 0.117 -0.392 -0.673
1 0.001 0.437 1.859	2 0.107 -0.346 -0.840
1 0.014 0.437 2.334	2 0.094 -0.494 -1.007
1 0.027 0.494 2.062	2 0.080 -0.505 -0.769
1 0.040 0.460 2.492	2 0.065 -0.539 -0.497
1 0.052 0.437 2.193	2 0.051 -0.448 -0.505
1 0.065 0.516 2.686	2 0.039 -0.448 -0.549
1 0.078 0.437 2.114	2 0.028 -0.403 -0.743
1 0.091 0.448 2.431	2 0.016 -0.392 -0.778
1 0.104 0.460 1.736	2 0.005 -0.380 -0.611
1 0.115 0.369 1.807	2 -0.005 -0.358 -0.637
1 0.125 0.255 1.473	2 -0.014 -0.244 -0.708
1 0.132 0.210 1.684	2 -0.020 -0.210 -0.848
1 0.137 0.142 1.596	2 -0.026 -0.221 -0.875
1 0.141 0.165 1.974	2 -0.031 -0.210 -0.743
1 0.144 0.096 2.026	2 -0.037 -0.199 -0.488
1 0.146 0.108 2.343	2 -0.041 -0.131 -0.277
1 0.148 0.028 2.378	2 -0.043 0.028 -0.286
1 0.149 0.040 2.396	2 -0.042 -0.017 -0.470
1 0.150 0.028 2.273	2 -0.042 -0.006 -0.585
1 0.150 0.017 2.290	2 -0.043 -0.017 -0.620
1 0.150 -0.040 2.343	2 -0.043 0.006 -0.629
1 0.150 -0.006 2.334	2 -0.043 0.006 -0.620
1 0.150 -0.006 2.334	2 -0.043 0.006 -0.699
1 0.150 0.006 2.053	2 -0.043 -0.006 -0.875
1 0.150 -0.006 1.780	2 -0.044 -0.108 -0.927
1 0.149 -0.074 1.200	2 -0.046 -0.074 -1.279
1 0.147 -0.074 0.954	2 -0.048 -0.096 -1.648
1 0.145 -0.165 0.180	2 -0.054 -0.278 -1.613
1 0.139 -0.187 -0.084	2 -0.064 -0.369 -1.068
1 0.131 -0.255 0.295	2 -0.075 -0.437 -0.857
1 0.120 -0.471 -0.057	2 -0.086 -0.301 -1.024
1 0.105 -0.550 0.004	2 -0.095 -0.380 -1.262
1 0.088 -0.596 0.760	2 -0.107 -0.426 -1.349
1 0.070 -0.664 1.059	2 -0.123 -0.619 -1.121
1 0.051 -0.619 1.736	2 -0.140 -0.562 -0.716
1 0.033 -0.664 1.455	2 -0.156 -0.562 -0.620
1 0.015 -0.641 2.009	2 -0.170 -0.437 -0.760
1 -0.002 -0.630 1.244	2 -0.184 -0.494 -1.077
1 -0.020 -0.607 1.613	2 -0.198 -0.448 -1.068
1 -0.037 -0.596 0.857	2 -0.213 -0.539 -0.971
1 -0.055 -0.619 1.446	2 -0.227 -0.448 -0.708
1 -0.073 -0.619 1.191	2 -0.239 -0.403 -0.664
1 -0.090 -0.573 2.035	2 -0.250 -0.312 -0.708
1 -0.106 -0.528 1.974	2 -0.258 -0.289 -0.725
1 -0.119 -0.426 2.563	2 -0.266 -0.221 -0.857
1 -0.129 -0.312 2.193	2 -0.274 -0.289 -0.690
1 -0.137 -0.233 2.440	2 -0.281 -0.176 -0.602
1 -0.142 -0.165 1.736	2 -0.284 -0.028 -0.813
1 -0.146 -0.096 1.763	2 -0.284 -0.006 -1.270
1 -0.147 -0.006 1.174	2 -0.284 -0.074 -1.473
1 -0.148 -0.017 0.971	2 -0.287 -0.131 -1.147
1 -0.149 -0.028 0.822	2 -0.292 -0.142 -0.699
1 -0.150 -0.074 0.919	2 -0.293 -0.017 -0.444
1 -0.151 -0.040 1.103	2 -0.293 0.028 -0.382
1 -0.150 0.028 1.068	2 -0.293 -0.006 -0.365
1 -0.150 -0.006 0.884	2 -0.293 0.006 -0.321
1 -0.150 0.006 0.752	2 -0.292 0.028 -0.295
1 -0.150 -0.017 0.532	2 -0.290 0.017 -0.031
1 -0.150 -0.006 0.400	2 -0.290 0.051 0.435
1 -0.152 -0.096 0.242	2 -0.287 0.244 0.804
1 -0.155 -0.176 0.435	2 -0.276 0.448 0.066
1 -0.159 -0.176 0.409	2 -0.264 0.369 -0.673
1 -0.165 -0.176 0.716	2 -0.256 0.119 -0.365
1 -0.170 -0.244 0.505	2 -0.250 0.233 0.523
1 -0.176 -0.278 0.840	2 -0.239 0.494 0.602
