1 -0.118 0.119 1.560	2 0.013 -0.051 -0.409
1 -0.115 0.096 1.710	2 0.011 -0.040 -0.215
1 -0.113 0.074 1.684	2 0.011 0.017 -0.295
1 -0.111 0.108 1.921	2 0.011 0.006 -0.259
1 -0.109 0.074 1.965	2 0.011 0.017 -0.338
1 -0.107 0.096 2.185	2 0.011 0.006 -0.400
1 -0.104 0.074 2.044	2 0.011 0.028 -0.400
1 -0.100 0.131 2.018	2 0.011 -0.017 -0.453
1 -0.097 0.131 1.736	2 0.011 -0.006 -0.453
1 -0.093 0.131 1.763	2 0.011 -0.017 -0.435
1 -0.090 0.062 1.684	2 0.011 -0.006 -0.505
1 -0.088 0.096 1.745	2 0.011 0.006 -0.523
1 -0.084 0.074 1.684	2 0.011 0.017 -0.532
1 -0.082 0.085 1.833	2 0.011 0.006 -0.514
1 -0.080 0.040 1.824	2 0.011 -0.006 -0.514
1 -0.077 0.108 1.974	2 0.011 0.017 -0.514
1 -0.075 0.085 1.921	2 0.011 -0.017 -0.549
1 -0.073 0.096 2.255	2 0.011 -0.028 -0.479
1 -0.071 0.028 2.273	2 0.011 -0.017 -0.505
1 -0.068 0.085 2.369	2 0.011 0.028 -0.505
1 -0.064 0.096 1.956	2 0.011 -0.006 -0.505
1 -0.060 0.165 1.815	2 0.011 -0.006 -0.479
1 -0.057 0.074 1.754	2 0.011 0.040 -0.505
1 -0.054 0.074 1.745	2 0.011 0.006 -0.418
1 -0.052 0.051 1.719	2 0.011 -0.006 -0.444
1 -0.049 0.051 1.877	2 0.011 0.006 -0.435
1 -0.047 0.131 1.824	2 0.011 -0.017 -0.382
1 -0.045 0.119 2.088	2 0.011 0.006 -0.338
1 -0.043 0.074 1.965	2 0.011 -0.040 -0.303
1 -0.040 0.062 2.202	2 0.011 -0.028 -0.295
1 -0.038 0.040 2.114	2 0.011 -0.028 -0.259
1 -0.035 0.062 2.343	2 0.011 0.028 -0.242
1 -0.033 0.096 2.114	2 0.011 -0.006 -0.163
1 -0.030 0.153 2.246	2 0.011 -0.028 -0.084
