1 0 1 -0.088 -0.088 -0.028 -0.084	2 0.176 0.096 -0.017 15.284	3 0.088 0.088 -0.040 0.127	4 -0.176 -0.076 -0.017 16.971
2 0 1 -0.088 -0.088 -0.028 -0.084	2 0.176 0.096 -0.006 15.301	3 0.088 0.088 -0.017 0.136	4 -0.176 -0.076 -0.062 16.963
3 0 1 -0.088 -0.088 -0.028 -0.084	2 0.176 0.096 -0.028 15.310	3 0.088 0.088 0.017 0.136	4 -0.176 -0.076 -0.028 16.954
3 0 1 -0.088 -0.088 -0.017 -0.084	2 0.177 0.096 -0.017 15.301	3 0.088 0.088 -0.028 0.127	4 -0.177 -0.076 0.176 16.945
4 0 1 -0.088 -0.088 0.006 -0.084	2 0.177 0.096 -0.006 15.301	3 0.088 0.088 -0.006 0.145	4 -0.177 -0.076 0.006 16.875
5 0 1 -0.088 -0.088 -0.006 -0.066	2 0.177 0.096 -0.006 15.371	3 0.088 0.088 0.017 0.127	4 -0.177 -0.076 -0.017 16.875
6 0 1 -0.088 -0.088 0.017 -0.084	2 0.177 0.096 -0.017 15.380	3 0.088 0.088 -0.006 0.145	4 -0.177 -0.076 -0.017 16.857
6 0 1 -0.088 -0.088 -0.017 -0.057	2 0.177 0.096 -0.028 15.398	3 0.089 0.088 -0.017 0.189	4 -0.177 -0.076 0.176 16.804
7 0 1 -0.089 -0.088 -0.028 -0.154	2 0.177 0.096 -0.006 15.451	3 0.089 0.088 -0.017 0.198	4 -0.177 -0.076 -0.040 16.734
8 0 1 -0.089 -0.088 -0.017 -0.136	2 0.177 0.096 -0.006 15.530	3 0.089 0.088 0.017 0.198	4 -0.178 -0.076 0.176 16.725
9 0 1 -0.089 -0.088 -0.006 -0.198	2 0.178 0.096 0.006 15.600	3 0.089 0.088 0.006 0.259	4 -0.178 -0.076 0.006 16.664
9 0 1 -0.089 -0.088 -0.028 -0.207	2 0.178 0.096 -0.017 15.618	3 0.089 0.088 -0.017 0.251	4 -0.178 -0.076 -0.017 16.585
10 0 1 -0.089 -0.088 0.006 -0.207	2 0.178 0.096 -0.017 15.662	3 0.090 0.088 0.017 0.277	4 -0.179 -0.076 -0.017 16.462
11 0 1 -0.090 -0.088 -0.017 -0.242	2 0.179 0.096 0.017 15.776	3 0.090 0.088 -0.017 0.330	4 -0.180 -0.076 -0.028 16.444
12 0 1 -0.090 -0.088 -0.006 -0.312	2 0.180 0.096 -0.028 15.952	3 0.090 0.088 -0.040 0.409	4 -0.180 -0.076 -0.017 16.295
12 0 1 -0.090 -0.088 -0.006 -0.312	2 0.181 0.096 -0.028 16.031	3 0.091 0.088 -0.006 0.523	4 -0.181 -0.076 0.176 16.084
13 0 1 -0.091 -0.089 -0.017 -0.435	2 0.181 0.096 -0.017 16.180	3 0.091 0.088 -0.040 0.567	4 -0.182 -0.076 -0.028 15.925
14 0 1 -0.091 -0.088 0.028 -0.505	2 0.182 0.096 -0.006 16.365	3 0.091 0.088 -0.017 0.593	4 -0.184 -0.076 0.176 15.899
15 0 1 -0.092 -0.089 -0.006 -0.576	2 0.184 0.096 0.017 16.602	3 0.092 0.088 -0.028 0.708	4 -0.184 -0.076 0.017 15.618
15 0 1 -0.092 -0.089 0.017 -0.620	2 0.185 0.096 0.017 16.716	3 0.093 0.088 0.028 0.796	4 -0.185 -0.077 -0.017 15.371
16 0 1 -0.093 -0.089 -0.028 -0.708	2 0.185 0.096 0.006 16.875	3 0.094 0.088 -0.006 0.927	4 -0.187 -0.077 -0.028 15.090
17 0 1 -0.094 -0.089 -0.028 -0.840	2 0.187 0.097 0.006 17.165	3 0.094 0.088 0.006 0.980	4 -0.189 -0.077 0.176 15.055
18 0 1 -0.095 -0.090 0.017 -0.884	2 0.189 0.097 0.017 17.420	3 0.095 0.089 0.006 1.042	4 -0.189 -0.078 -0.028 14.782
18 0 1 -0.095 -0.090 -0.051 -0.857	2 0.191 0.097 -0.006 17.560	3 0.096 0.089 0.017 1.095	4 -0.191 -0.078 -0.051 14.527
19 0 1 -0.096 -0.091 -0.040 -0.980	2 0.191 0.098 -0.006 17.780	3 0.097 0.090 0.017 1.138	4 -0.194 -0.079 -0.028 14.185
20 0 1 -0.097 -0.091 -0.028 -1.191	2 0.194 0.098 0.028 -17.886	3 0.097 0.091 0.006 1.191	4 -0.197 -0.080 -0.028 14.211
21 0 1 -0.098 -0.092 -0.028 -1.226	2 0.197 0.099 0.062 -17.569	3 0.098 0.091 0.051 1.235	4 -0.197 -0.080 -0.040 13.895
21 0 1 -0.098 -0.093 -0.096 -0.945	2 0.200 0.101 0.074 -17.525	3 0.100 0.093 0.074 1.270	4 -0.200 -0.082 -0.074 13.534
22 0 1 -0.100 -0.094 -0.017 -1.059	2 0.200 0.101 0.062 -17.376	3 0.102 0.094 -0.017 1.323	4 -0.203 -0.083 -0.062 13.165
23 0 1 -0.102 -0.096 -0.085 -1.068	2 0.203 0.104 0.085 -17.068	3 0.102 0.096 0.096 1.068	4 -0.207 -0.084 -0.085 13.473
24 0 1 -0.103 -0.097 -0.040 -1.147	2 0.207 0.104 0.062 -16.725	3 0.103 0.097 0.040 1.174	4 -0.207 -0.086 -0.062 13.086
24 0 1 -0.103 -0.099 -0.119 -0.769	2 0.211 0.107 0.074 -16.690	3 0.105 0.099 0.096 1.095	4 -0.211 -0.088 -0.119 12.778
25 0 1 -0.105 -0.101 -0.108 -0.743	2 0.211 0.109 0.108 -16.708	3 0.107 0.101 0.096 0.919	4 -0.215 -0.091 -0.108 12.646
26 0 1 -0.107 -0.103 -0.085 -0.813	2 0.215 0.111 0.074 -16.303	3 0.107 0.103 0.096 0.725	4 -0.219 -0.094 -0.074 12.822
27 0 1 -0.110 -0.105 -0.085 -0.743	2 0.219 0.114 0.153 -16.040	3 0.110 0.105 0.051 0.822	4 -0.219 -0.097 -0.131 12.681
27 0 1 -0.110 -0.108 -0.062 -0.347	2 0.224 0.117 0.119 -16.242	3 0.112 0.107 0.119 0.804	4 -0.224 -0.100 -0.108 12.303
28 0 1 -0.112 -0.110 -0.096 -0.330	2 0.224 0.119 0.131 -16.198	3 0.114 0.110 0.062 0.602	4 -0.229 -0.102 -0.142 12.295
29 0 1 -0.114 -0.113 -0.187 -0.154	2 0.229 0.123 0.176 -15.943	3 0.114 0.110 -0.017 0.734	4 -0.234 -0.106 -0.074 12.453
30 0 1 -0.117 -0.117 -0.062 -0.004	2 0.234 0.125 0.096 -15.486	3 0.117 0.112 0.153 0.769	4 -0.234 -0.109 -0.153 12.286
30 0 1 -0.117 -0.119 -0.176 0.409	2 0.239 0.128 0.176 -15.714	3 0.120 0.116 0.096 0.567	4 -0.239 -0.113 -0.142 11.925
31 0 1 -0.120 -0.123 -0.074 0.567	2 0.239 0.132 0.108 -15.512	3 0.123 0.119 0.096 0.321	4 -0.245 -0.116 -0.142 11.512
32 0 1 -0.123 -0.126 -0.153 0.602	2 0.245 0.134 0.085 -14.941	3 0.123 0.123 0.187 -0.145	4 -0.251 -0.120 -0.153 12.171
33 0 1 -0.126 -0.129 -0.131 0.778	2 0.251 0.138 0.108 -14.598	3 0.126 0.127 0.131 -0.286	4 -0.251 -0.124 -0.199 11.952
33 0 1 -0.126 -0.133 -0.131 1.358	2 0.258 0.141 0.119 -14.730	3 0.129 0.130 0.119 -0.303	4 -0.258 -0.128 -0.006 11.134
34 0 1 -0.129 -0.136 -0.142 1.402	2 0.258 0.146 0.131 -14.642	3 0.132 0.133 0.074 -0.532	4 -0.264 -0.131 -0.142 10.923
35 0 1 -0.132 -0.139 -0.142 1.411	2 0.264 0.150 0.153 -14.308	3 0.132 0.136 0.096 -0.708	4 -0.271 -0.135 -0.142 11.574
36 0 1 -0.136 -0.144 -0.131 1.596	2 0.271 0.154 0.153 -14.009	3 0.136 0.139 0.119 -0.690	4 -0.271 -0.139 -0.119 10.703
36 0 1 -0.136 -0.147 -0.165 2.255	2 0.278 0.158 0.131 -13.912	3 0.139 0.142 0.119 -0.760	4 -0.278 -0.143 -0.199 10.246
37 0 1 -0.139 -0.151 -0.131 2.281	2 0.278 0.162 0.131 -13.851	3 0.143 0.147 0.062 -1.086	4 -0.286 -0.147 -0.221 9.895
38 0 1 -0.143 -0.155 -0.165 2.343	2 0.286 0.167 0.153 -13.358	3 0.143 0.150 0.085 -1.446	4 -0.293 -0.152 -0.199 10.774
39 0 1 -0.147 -0.159 -0.119 2.475	2 0.293 0.171 0.199 -13.103	3 0.147 0.154 0.221 -1.604	4 -0.293 -0.157 -0.199 10.334
39 0 1 -0.147 -0.164 -0.165 3.371	2 0.301 0.176 0.153 -13.262	3 0.151 0.159 0.153 -1.754	4 -0.301 -0.163 -0.289 9.886
40 0 1 -0.151 -0.169 -0.165 3.556	2 0.301 0.182 0.176 -13.323	3 0.155 0.164 0.108 -2.246	4 -0.309 -0.169 -0.233 9.727
41 0 1 -0.155 -0.174 -0.165 3.670	2 0.309 0.187 0.244 -13.007	3 0.155 0.168 0.119 -2.554	4 -0.317 -0.174 -0.199 10.316
42 0 1 -0.159 -0.179 -0.165 3.987	2 0.317 0.193 0.210 -12.716	3 0.159 0.171 0.199 -2.580	4 -0.317 -0.179 -0.199 9.833
42 0 1 -0.159 -0.184 -0.153 4.857	2 0.326 0.199 0.006 -13.051	3 0.163 0.176 0.187 -2.677	4 -0.326 -0.186 -0.244 9.666
43 0 1 -0.163 -0.190 -0.187 5.121	2 0.326 0.206 0.255 -13.314	3 0.167 0.182 0.176 -3.275	4 -0.335 -0.193 -0.278 9.464
44 0 1 -0.167 -0.196 -0.176 5.420	2 0.335 0.213 0.244 -12.796	3 0.167 0.188 0.153 -4.013	4 -0.343 -0.200 -0.221 10.264
45 0 1 -0.172 -0.202 -0.153 5.754	2 0.343 0.220 0.244 -12.681	3 0.172 0.194 0.199 -4.295	4 -0.343 -0.207 -0.221 10.009
45 0 1 -0.172 -0.207 -0.187 6.554	2 0.352 0.225 0.006 -12.963	3 0.176 0.199 0.165 -4.523	4 -0.352 -0.213 -0.267 9.596
46 0 1 -0.176 -0.212 -0.221 6.853	2 0.352 0.232 0.244 -13.226	3 0.181 0.204 0.108 -4.901	4 -0.362 -0.218 -0.267 9.437
