.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 45 1 1 -0.347 -0.377 0.074 10.563	2 0.669 0.621 -0.062 16.673	R 34 0 3 -0.046 -0.041 -0.108 -1.569	4 -0.305 -0.321 0.414 0.075
L 46 1 1 -0.344 -0.376 0.051 10.985	2 0.669 0.620 -0.062 16.980	R 35 0 3 -0.048 -0.042 -0.006 -1.982	4 -0.305 -0.306 0.437 0.558
L 46 1 1 -0.344 -0.375 0.028 10.782	2 0.669 0.619 -0.051 17.305	R 36 0 3 -0.049 -0.042 -0.040 -2.264	4 -0.288 -0.296 0.528 1.815
L 47 1 1 -0.341 -0.373 0.051 11.363	2 0.669 0.618 -0.051 17.763	R 37 0 3 -0.049 -0.042 -0.006 -2.387	4 -0.273 -0.284 0.380 2.879
L 48 1 1 -0.337 -0.371 0.051 11.574	2 0.669 0.617 -0.040 -17.763	R 37 0 3 -0.049 -0.042 0.006 -2.316	4 -0.259 -0.273 0.267 0.066
L 49 1 1 -0.334 -0.369 0.085 11.749	2 0.669 0.615 -0.074 -17.262	R 38 0 3 -0.047 -0.042 -0.028 -1.842	4 -0.259 -0.262 0.301 1.059
L 49 1 1 -0.334 -0.367 0.062 11.345	2 0.669 0.614 -0.017 -16.813	R 39 0 3 -0.045 -0.042 0.051 -1.464	4 -0.246 -0.253 0.426 1.798
L 50 1 1 -0.331 -0.365 0.074 11.609	2 0.669 0.613 -0.028 -16.382	R 40 0 3 -0.042 -0.041 0.028 -1.209	4 -0.235 -0.245 0.255 2.826
L 51 1 1 -0.328 -0.363 0.062 11.960	2 0.669 0.612 -0.176 -16.110	R 40 0 3 -0.042 -0.039 0.062 -0.998	4 -0.225 -0.237 0.233 0.549
L 52 1 1 -0.325 -0.361 0.051 12.224	2 0.669 0.612 -0.017 -15.811	R 41 0 3 -0.038 -0.038 0.051 -0.119	4 -0.225 -0.228 0.312 0.875
L 52 1 1 -0.325 -0.358 0.096 11.521	2 0.669 0.611 -0.028 -15.468	R 42 0 3 -0.033 -0.036 0.096 0.215	4 -0.216 -0.222 0.233 1.982
L 53 1 1 -0.322 -0.356 0.062 11.925	2 0.669 0.610 -0.006 -15.275	R 43 0 3 -0.027 -0.032 0.085 0.462	4 -0.208 -0.218 0.233 2.870
L 54 1 1 -0.319 -0.354 0.119 11.978	2 0.669 0.609 -0.028 -14.958	R 43 0 3 -0.027 -0.027 0.108 -0.022	4 -0.201 -0.212 0.142 1.200
L 55 1 1 -0.316 -0.352 0.108 12.075	2 0.669 0.609 -0.176 -14.835	R 44 0 3 -0.020 -0.020 0.323 -0.154	4 -0.201 -0.206 0.176 1.437
