1 0 1 -0.188 -0.376 0.085 -1.947	2 0.742 0.591 -0.028 -7.327	3 0.517 0.521 -0.108 -0.857	4 -0.721 -0.653 0.006 -12.892
1 0 1 -0.188 -0.373 0.062 -1.798	2 0.744 0.591 0.017 -7.160	3 0.513 0.519 -0.165 -1.042	4 -0.719 -0.653 0.028 -12.813
2 0 1 -0.186 -0.370 0.131 -1.912	2 0.744 0.591 -0.017 -6.879	3 0.509 0.515 -0.108 -0.760	4 -0.717 -0.651 0.040 -12.646
3 0 1 -0.184 -0.367 0.085 -1.684	2 0.747 0.591 0.028 -6.475	3 0.509 0.512 -0.085 -0.637	4 -0.715 -0.650 0.040 -12.769
4 0 1 -0.182 -0.363 0.006 -1.886	2 0.748 0.591 -0.006 -6.114	3 0.505 0.508 -0.096 -0.813	4 -0.715 -0.649 0.028 -12.567
4 0 1 -0.182 -0.361 0.074 -2.149	2 0.750 0.592 0.062 -6.325	3 0.501 0.506 -0.062 -0.998	4 -0.713 -0.648 0.028 -12.444
5 0 1 -0.180 -0.358 0.074 -2.132	2 0.750 0.595 0.131 -6.633	3 0.497 0.505 -0.085 -1.086	4 -0.711 -0.647 0.028 -12.330
6 0 1 -0.178 -0.356 0.108 -2.018	2 0.750 0.598 0.074 -7.116	3 0.497 0.501 -0.142 -0.831	4 -0.709 -0.646 0.006 -12.347
7 0 1 -0.175 -0.353 0.153 -2.149	2 0.749 0.599 0.040 -7.626	3 0.493 0.497 -0.187 -0.796	4 -0.709 -0.645 0.028 -12.145
7 0 1 -0.175 -0.350 0.085 -2.466	2 0.747 0.601 0.096 -8.040	3 0.489 0.493 -0.165 -0.620	4 -0.707 -0.645 0.017 -11.890
8 0 1 -0.171 -0.346 0.165 -2.677	2 0.747 0.601 -0.006 -8.303	3 0.485 0.488 -0.119 -0.268	4 -0.706 -0.644 0.074 -11.873
9 0 1 -0.167 -0.342 0.165 -3.099	2 0.744 0.601 -0.176 -9.015	3 0.485 0.485 -0.142 -0.057	4 -0.704 -0.642 0.051 -12.136
10 0 1 -0.163 -0.337 0.006 -3.327	2 0.739 0.601 -0.017 -9.807	3 0.481 0.482 -0.153 -0.171	4 -0.704 -0.640 0.085 -12.251
10 0 1 -0.163 -0.331 0.176 -3.978	2 0.732 0.601 -0.176 -10.299	3 0.477 0.478 -0.176 -0.110	4 -0.702 -0.636 0.096 -12.523
11 0 1 -0.157 -0.326 0.233 -4.242	2 0.732 0.600 0.017 -10.993	3 0.473 0.474 -0.062 0.154	4 -0.701 -0.634 0.085 -12.743
12 0 1 -0.151 -0.320 0.006 -3.969	2 0.724 0.599 -0.040 -12.409	3 0.473 0.469 -0.187 0.743	4 -0.699 -0.631 0.096 -13.262
13 0 1 -0.145 -0.314 0.199 -4.303	2 0.713 0.597 -0.119 -13.640	3 0.469 0.463 -0.187 1.253	4 -0.699 -0.628 0.040 -13.270
13 0 1 -0.145 -0.306 0.312 -5.745	2 0.702 0.593 -0.165 -13.807	3 0.465 0.456 -0.255 1.895	4 -0.697 -0.626 0.085 -13.604
14 0 1 -0.138 -0.295 0.392 -6.062	2 0.702 0.587 -0.199 -14.158	3 0.462 0.450 -0.187 2.756	4 -0.696 -0.623 0.074 -13.903
