1 0 1 -0.188 -0.205 0.108 3.046	2 0.742 0.733 0.062 1.525	3 0.517 0.525 -0.096 -1.622	4 -0.721 -0.722 0.051 0.031
1 0 1 -0.188 -0.203 0.085 2.835	2 0.744 0.737 0.119 1.068	3 0.513 0.522 -0.142 -1.754	4 -0.719 -0.719 0.040 0.048
2 0 1 -0.186 -0.202 0.040 2.958	2 0.744 0.738 -0.017 1.147	3 0.509 0.518 -0.165 -1.270	4 -0.717 -0.719 0.040 0.189
3 0 1 -0.184 -0.200 0.040 3.046	2 0.747 0.738 0.017 1.499	3 0.509 0.514 -0.108 -1.077	4 -0.715 -0.717 -0.006 0.092
4 0 1 -0.182 -0.199 0.006 3.178	2 0.748 0.740 0.108 1.481	3 0.505 0.510 -0.119 -1.174	4 -0.715 -0.717 0.006 0.374
4 0 1 -0.182 -0.199 -0.006 3.213	2 0.750 0.742 0.085 1.244	3 0.501 0.509 -0.028 -1.429	4 -0.713 -0.717 0.028 0.646
5 0 1 -0.180 -0.199 0.006 3.512	2 0.750 0.743 0.028 1.323	3 0.497 0.506 -0.096 -1.358	4 -0.711 -0.715 0.131 0.567
6 0 1 -0.178 -0.198 0.028 3.846	2 0.750 0.743 -0.006 1.341	3 0.497 0.503 -0.096 -1.437	4 -0.709 -0.711 0.085 0.084
7 0 1 -0.175 -0.196 0.062 3.996	2 0.749 0.743 -0.051 1.209	3 0.493 0.501 -0.085 -1.631	4 -0.709 -0.712 0.017 0.409
7 0 1 -0.175 -0.194 0.062 3.591	2 0.747 0.743 -0.006 1.051	3 0.489 0.499 -0.131 -1.684	4 -0.707 -0.711 0.040 0.699
8 0 1 -0.171 -0.191 0.108 3.749	2 0.747 0.742 -0.006 0.875	3 0.485 0.496 -0.074 -1.613	4 -0.706 -0.710 0.028 0.831
9 0 1 -0.167 -0.187 0.119 3.785	2 0.744 0.741 -0.040 0.462	3 0.485 0.493 -0.142 -1.446	4 -0.704 -0.707 0.119 0.347
10 0 1 -0.163 -0.184 0.153 3.705	2 0.739 0.739 -0.165 0.110	3 0.481 0.489 -0.119 -1.569	4 -0.704 -0.706 -0.040 0.365
10 0 1 -0.163 -0.179 0.153 3.213	2 0.732 0.735 -0.074 0.189	3 0.477 0.486 -0.096 -1.622	4 -0.702 -0.706 0.006 0.655
11 0 1 -0.157 -0.175 0.131 3.354	2 0.732 0.731 -0.165 0.154	3 0.473 0.483 -0.085 -1.473	4 -0.701 -0.705 0.040 0.804
12 0 1 -0.151 -0.171 0.165 3.662	2 0.724 0.726 -0.187 -0.514	3 0.473 0.479 -0.176 -1.068	4 -0.699 -0.702 0.108 0.321
13 0 1 -0.145 -0.166 0.199 3.547	2 0.713 0.722 -0.119 -0.655	3 0.469 0.475 -0.108 -1.244	4 -0.699 -0.699 0.062 -0.013
13 0 1 -0.145 -0.161 0.165 3.011	2 0.702 0.714 -0.278 -0.760	3 0.465 0.472 -0.074 -1.262	4 -0.697 -0.699 -0.017 0.163
14 0 1 -0.138 -0.155 0.244 3.134	2 0.702 0.704 -0.346 -0.549	3 0.462 0.470 -0.040 -1.297	4 -0.696 -0.699 0.017 0.374
15 0 1 -0.130 -0.146 0.312 3.143	2 0.688 0.694 -0.392 -1.103	3 0.462 0.469 -0.040 -1.499	4 -0.694 -0.698 -0.017 0.391
16 0 1 -0.122 -0.138 0.289 2.475	2 0.673 0.685 -0.369 -1.736	3 0.458 0.468 -0.085 -1.903	4 -0.694 -0.698 0.028 0.541
16 0 1 -0.122 -0.129 0.335 1.332	2 0.656 0.674 -0.187 -1.666	3 0.454 0.466 -0.074 -2.202	4 -0.693 -0.696 0.096 0.576
17 0 1 -0.113 -0.120 0.301 1.367	2 0.656 0.662 -0.460 -1.314	3 0.450 0.464 -0.051 -2.167	4 -0.692 -0.693 0.108 0.224
18 0 1 -0.104 -0.112 0.289 1.604	2 0.638 0.649 -0.494 -1.921	3 0.450 0.461 -0.108 -2.009	4 -0.690 -0.693 -0.051 0.171
19 0 1 -0.094 -0.104 0.244 1.385	2 0.619 0.635 -0.596 -2.580	3 0.447 0.458 -0.108 -2.062	4 -0.690 -0.692 -0.006 0.295
19 0 1 -0.094 -0.097 0.221 0.558	2 0.599 0.619 -0.414 -1.745	3 0.443 0.454 -0.199 -1.833	4 -0.689 -0.692 0.028 0.453
20 0 1 -0.084 -0.092 0.153 1.358	2 0.599 0.604 -0.516 -1.103	3 0.439 0.450 -0.165 -1.578	4 -0.688 -0.691 0.074 0.567
21 0 1 -0.075 -0.087 0.165 2.308	2 0.578 0.588 -0.675 -1.771	3 0.439 0.445 -0.165 -1.182	4 -0.687 -0.688 0.108 0.119
22 0 1 -0.065 -0.081 0.165 2.651	2 0.556 0.572 -0.664 -2.211	3 0.436 0.441 -0.176 -1.024	4 -0.687 -0.686 -0.006 0.004
22 0 1 -0.065 -0.076 0.176 1.921	2 0.534 0.554 -0.403 -1.701	3 0.432 0.438 -0.074 -1.095	4 -0.685 -0.686 0.006 0.198
23 0 1 -0.055 -0.069 0.233 2.589	2 0.534 0.538 -0.585 -0.963	3 0.428 0.437 0.017 -1.305	4 -0.684 -0.686 0.017 0.356
24 0 1 -0.046 -0.062 0.233 2.914	2 0.511 0.521 -0.630 -1.938	3 0.428 0.436 -0.119 -1.402	4 -0.683 -0.686 -0.017 0.374
25 0 1 -0.037 -0.053 0.301 2.413	2 0.488 0.505 -0.721 -2.281	3 0.425 0.434 -0.074 -1.710	4 -0.683 -0.685 0.074 0.286
25 0 1 -0.037 -0.044 0.255 1.393	2 0.465 0.487 -0.392 -1.736	3 0.421 0.432 -0.028 -1.991	4 -0.682 -0.682 0.074 -0.040
26 0 1 -0.028 -0.037 0.199 1.640	2 0.465 0.472 -0.471 -1.376	3 0.418 0.430 -0.062 -2.018	4 -0.681 -0.681 -0.051 0.022
27 0 1 -0.020 -0.029 0.221 1.763	2 0.443 0.456 -0.619 -2.422	3 0.418 0.428 -0.074 -2.105	4 -0.680 -0.681 0.017 -0.022
28 0 1 -0.012 -0.023 0.176 1.622	2 0.420 0.439 -0.698 -2.844	3 0.414 0.426 -0.051 -2.299	4 -0.680 -0.681 -0.006 0.145
28 0 1 -0.012 -0.017 0.176 0.778	2 0.399 0.421 -0.437 -2.062	3 0.410 0.424 -0.085 -2.404	4 -0.679 -0.680 0.006 0.189
29 0 1 -0.006 -0.012 0.119 1.297	2 0.399 0.405 -0.550 -1.314	3 0.407 0.419 -0.131 -1.982	4 -0.678 -0.679 0.051 0.092
30 0 1 0.000 -0.009 0.096 1.807	2 0.377 0.390 -0.550 -2.422	3 0.407 0.415 -0.187 -1.508	4 -0.677 -0.679 -0.028 0.040
31 0 1 0.006 -0.007 0.051 2.158	2 0.357 0.375 -0.585 -2.738	3 0.403 0.411 -0.131 -1.534	4 -0.677 -0.678 0.017 0.215
31 0 1 0.006 -0.005 0.096 1.903	2 0.337 0.360 -0.380 -2.229	3 0.400 0.408 -0.108 -1.358	4 -0.677 -0.679 0.006 0.365
32 0 1 0.010 -0.003 0.040 2.422	2 0.337 0.345 -0.448 -1.648	3 0.397 0.405 -0.085 -1.279	4 -0.676 -0.678 0.006 0.479
33 0 1 0.013 -0.001 0.085 2.580	2 0.319 0.331 -0.596 -2.343	3 0.397 0.403 -0.108 -1.191	4 -0.675 -0.678 0.006 0.488
34 0 1 0.016 0.002 0.131 2.290	2 0.301 0.318 -0.505 -2.703	3 0.393 0.400 -0.096 -1.481	4 -0.675 -0.678 0.006 0.567
34 0 1 0.016 0.006 0.131 1.719	2 0.285 0.305 -0.289 -2.079	3 0.390 0.399 -0.074 -1.675	4 -0.674 -0.678 0.006 0.593
35 0 1 0.017 0.009 0.096 1.464	2 0.285 0.294 -0.346 -1.833	3 0.386 0.398 -0.006 -1.895	4 -0.674 -0.677 0.006 0.602
36 0 1 0.017 0.010 0.062 1.165	2 0.269 0.284 -0.335 -2.695	3 0.386 0.396 -0.108 -1.842	4 -0.673 -0.675 0.028 0.268
37 0 1 0.016 0.012 0.006 0.848	2 0.255 0.274 -0.426 -3.240	3 0.383 0.394 -0.085 -2.097	4 -0.673 -0.675 0.017 0.312
37 0 1 0.016 0.012 -0.017 0.752	2 0.242 0.262 -0.312 -2.545	3 0.379 0.392 -0.085 -2.273	4 -0.673 -0.675 -0.028 0.365
38 0 1 0.014 0.011 0.006 0.497	2 0.242 0.252 -0.358 -2.044	3 0.376 0.389 -0.085 -2.123	4 -0.672 -0.674 0.028 0.400
39 0 1 0.011 0.011 -0.051 0.057	2 0.231 0.244 -0.301 -2.457	3 0.376 0.385 -0.142 -1.719	4 -0.672 -0.673 0.006 0.242
40 0 1 0.007 0.011 -0.006 -0.400	2 0.220 0.235 -0.335 -2.589	3 0.373 0.382 -0.165 -1.701	4 -0.672 -0.673 -0.006 0.277
40 0 1 0.007 0.009 -0.051 -0.418	2 0.211 0.229 -0.096 -2.519	3 0.370 0.379 -0.119 -1.736	4 -0.671 -0.673 -0.017 0.356
41 0 1 0.002 0.007 -0.028 -0.989	2 0.211 0.226 -0.051 -2.905	3 0.366 0.375 -0.119 -1.358	4 -0.671 -0.673 -0.006 0.391
42 0 1 -0.004 0.007 -0.017 -1.235	2 0.203 0.221 -0.221 -3.257	3 0.366 0.373 -0.062 -1.402	4 -0.670 -0.673 -0.017 0.444
43 0 1 -0.010 0.005 -0.085 -2.466	2 0.197 0.214 -0.278 -3.231	3 0.363 0.371 -0.051 -1.578	4 -0.670 -0.673 -0.006 0.488
43 0 1 -0.010 0.001 -0.131 -2.158	2 0.191 0.207 -0.187 -2.536	3 0.360 0.370 -0.051 -1.903	4 -0.670 -0.673 -0.017 0.558
44 0 1 -0.018 -0.004 -0.233 -2.466	2 0.191 0.203 -0.119 -2.448	3 0.356 0.368 -0.051 -1.974	4 -0.670 -0.673 0.006 0.576
45 0 1 -0.026 -0.013 -0.358 -2.589	2 0.186 0.200 -0.096 -2.571	3 0.356 0.368 -0.017 -2.193	4 -0.669 -0.673 -0.017 0.602
46 0 1 -0.035 -0.023 -0.369 -1.824	2 0.183 0.198 -0.062 -2.941	3 0.353 0.367 -0.062 -2.431	4 -0.669 -0.673 0.028 0.602
46 0 1 -0.035 -0.034 -0.323 -0.470	2 0.180 0.197 -0.028 -2.782	3 0.350 0.365 -0.085 -2.747	4 -0.669 -0.672 -0.017 0.558
47 0 1 -0.045 -0.044 -0.403 -0.338	2 0.180 0.195 -0.085 -2.747	3 0.347 0.363 -0.051 -2.730	4 -0.669 -0.672 0.028 0.523
48 0 1 -0.055 -0.052 -0.289 -0.505	2 0.178 0.193 -0.006 -2.967	3 0.347 0.360 -0.131 -2.387	4 -0.669 -0.670 0.051 0.251
49 0 1 -0.066 -0.059 -0.255 -0.409	2 0.177 0.193 0.017 -3.011	3 0.344 0.355 -0.187 -2.123	4 -0.669 -0.670 -0.028 0.189
49 0 1 -0.066 -0.067 -0.153 -0.277	2 0.177 0.193 -0.006 -3.099	3 0.341 0.351 -0.142 -1.938	4 -0.669 -0.670 -0.006 0.233
50 0 1 -0.077 -0.072 -0.301 -0.664	2 0.177 0.193 -0.017 -3.196	3 0.337 0.347 -0.165 -1.385	4 -0.669 -0.670 -0.028 0.207
51 0 1 -0.088 -0.077 -0.199 -1.965	2 0.176 0.193 -0.017 -3.231	3 0.337 0.343 -0.119 -1.235	4 -0.669 -0.670 -0.040 0.224
52 0 1 -0.100 -0.082 -0.199 -2.633	2 0.177 0.194 0.028 -3.266	3 0.334 0.340 -0.108 -1.165	4 -0.669 -0.670 0.017 0.215
52 0 1 -0.100 -0.088 -0.233 -2.070	2 0.177 0.193 -0.017 -3.152	3 0.331 0.339 -0.062 -1.323	4 -0.669 -0.670 -0.040 0.242
53 0 1 -0.111 -0.096 -0.312 -2.774	2 0.177 0.194 0.006 -3.116	3 0.328 0.337 0.006 -1.411	4 -0.669 -0.670 -0.006 0.224
54 0 1 -0.123 -0.107 -0.392 -3.064	2 0.178 0.194 -0.006 -2.958	3 0.328 0.336 -0.040 -1.525	4 -0.669 -0.670 0.006 0.198
55 0 1 -0.135 -0.117 -0.426 -2.747	2 0.180 0.194 0.006 -2.703	3 0.325 0.335 -0.051 -1.947	4 -0.669 -0.670 0.006 0.180
55 0 1 -0.135 -0.129 -0.392 -1.244	2 0.183 0.194 -0.028 -2.492	3 0.322 0.335 -0.028 -2.316	4 -0.669 -0.670 -0.040 0.198
56 0 1 -0.147 -0.140 -0.369 -1.499	2 0.183 0.195 0.062 -2.431	3 0.319 0.335 -0.040 -2.571	4 -0.669 -0.670 -0.028 0.145
57 0 1 -0.160 -0.151 -0.346 -1.789	2 0.186 0.198 0.119 -2.281	3 0.319 0.334 -0.006 -2.914	4 -0.669 -0.670 0.017 0.119
58 0 1 -0.173 -0.160 -0.323 -1.622	2 0.191 0.201 0.074 -2.018	3 0.316 0.332 -0.085 -3.099	4 -0.669 -0.670 0.017 0.092
58 0 1 -0.173 -0.168 -0.221 -1.103	2 0.197 0.203 0.062 -1.974	3 0.313 0.330 -0.142 -2.967	4 -0.670 -0.670 -0.017 0.048
59 0 1 -0.186 -0.175 -0.244 -2.149	2 0.197 0.207 0.165 -2.149	3 0.310 0.327 -0.119 -2.721	4 -0.670 -0.670 -0.028 0.022
60 0 1 -0.200 -0.183 -0.301 -3.108	2 0.203 0.214 0.244 -2.185	3 0.310 0.323 -0.119 -2.404	4 -0.670 -0.670 -0.006 -0.013
61 0 1 -0.214 -0.192 -0.301 -3.301	2 0.211 0.220 0.210 -2.018	3 0.307 0.317 -0.244 -1.912	4 -0.670 -0.670 0.028 -0.066
61 0 1 -0.214 -0.202 -0.346 -2.202	2 0.220 0.228 0.221 -2.466	3 0.305 0.313 -0.187 -1.411	4 -0.671 -0.671 -0.028 -0.066
62 0 1 -0.228 -0.213 -0.414 -2.809	2 0.220 0.236 0.255 -3.116	3 0.302 0.309 -0.096 -1.165	4 -0.671 -0.671 -0.028 -0.119
63 0 1 -0.242 -0.225 -0.426 -3.160	2 0.231 0.244 0.221 -2.598	3 0.302 0.307 -0.040 -1.112	4 -0.672 -0.671 0.028 -0.101
64 0 1 -0.256 -0.237 -0.426 -2.818	2 0.242 0.250 0.267 -1.877	3 0.299 0.306 -0.051 -1.402	4 -0.672 -0.671 -0.006 -0.136
64 0 1 -0.256 -0.249 -0.403 -1.455	2 0.255 0.258 0.255 -3.424	3 0.296 0.304 -0.108 -1.455	4 -0.672 -0.671 0.017 -0.215
65 0 1 -0.271 -0.261 -0.358 -2.097	2 0.255 0.268 0.335 -2.554	3 0.293 0.303 -0.006 -1.648	4 -0.673 -0.671 -0.006 -0.312
66 0 1 -0.286 -0.273 -0.426 -2.422	2 0.269 0.279 0.426 -2.026	3 0.293 0.303 -0.006 -1.991	4 -0.673 -0.671 0.006 -0.338
67 0 1 -0.301 -0.284 -0.403 -2.492	2 0.285 0.290 0.471 -1.367	3 0.290 0.302 -0.028 -2.290	4 -0.673 -0.671 0.017 -0.409
67 0 1 -0.301 -0.296 -0.380 -1.138	2 0.301 0.301 0.289 -1.745	3 0.288 0.302 -0.096 -2.571	4 -0.674 -0.671 -0.040 -0.488
68 0 1 -0.317 -0.307 -0.335 -1.947	2 0.301 0.313 0.278 -2.246	3 0.285 0.300 -0.040 -2.580	4 -0.674 -0.672 -0.040 -0.514
69 0 1 -0.332 -0.318 -0.448 -2.580	2 0.319 0.326 0.505 -1.429	3 0.285 0.298 -0.017 -2.686	4 -0.675 -0.673 -0.040 -0.330
70 0 1 -0.347 -0.331 -0.471 -2.193	2 0.337 0.338 0.528 -0.374	3 0.282 0.295 -0.108 -2.686	4 -0.675 -0.673 -0.006 -0.382
70 0 1 -0.347 -0.344 -0.414 -0.690	2 0.357 0.351 0.403 -1.174	3 0.279 0.292 -0.131 -2.316	4 -0.676 -0.673 -0.017 -0.418
71 0 1 -0.363 -0.357 -0.471 -1.068	2 0.357 0.366 0.426 -1.622	3 0.277 0.289 -0.096 -2.035	4 -0.677 -0.674 -0.017 -0.514
72 0 1 -0.378 -0.371 -0.482 -1.086	2 0.377 0.380 0.539 -0.505	3 0.277 0.286 -0.119 -1.701	4 -0.677 -0.674 0.006 -0.523
73 0 1 -0.393 -0.384 -0.414 -0.813	2 0.399 0.393 0.607 0.145	3 0.274 0.282 -0.153 -1.534	4 -0.677 -0.675 -0.051 -0.532
73 0 1 -0.393 -0.396 -0.392 0.127	2 0.420 0.407 0.187 0.075	3 0.271 0.280 -0.108 -1.560	4 -0.678 -0.677 -0.062 -0.435
74 0 1 -0.408 -0.408 -0.437 0.004	2 0.420 0.421 0.516 -0.119	3 0.269 0.278 -0.074 -1.411	4 -0.679 -0.677 -0.040 -0.532
